#Ekonomikoa,Diru-sarreren aplikazioaren izena,BEHIN-BETIKO K.,DRN GARBIAK
48001,Vital Fundazioa - Hazia gazteen laneratzera hitzarmena,53000,0
49000,Kanpotik,123000,-18032.53
52500,Udalaren interesak banku eta kutxetan,2000000,2300633.22
54001,Udalaren hiri-funtsen alokairu-errentak,125000,93872.09
54002,Enpresa-mintegietako lokalak alokatzea,130000,94495.48
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000,30333.48
55000,Emakiden emaitzak,750000,1074148.69
55004,Aparkaleku-plazak erabiltzeko lagapena,30000,0
59002,Lur sailak erabiltzea,20000,5764.31
60300,Lurzoruaren udal-ondarea,12803400,0
61200,Eraikinak eta bestelako eraikuntzak,880000,13148.44
65100,Nahitaezko aprobetxamendu-lagapenak,0,1989378.34
71000,Eusko Jaurlaritzatik,10884897.17,257586.26
72000,Arabako Foru Aldunditik,4255000,2532000
73000,Udalerriko erakunde publikoetatik,40000,39523.4
77000,Enpresa pribatuak,8050,8050
87001,Gastu orokorretarako diruzaintzako gerakin,26869120.08,0
87002,Finantzaketa lotua duten gastuetarako diruza,39562024.52,0
93301,Inbertsioak finantzatzeko finantza-pasiboak,15289805.62,0
