#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2026,Crédito Definitivo 2026,Obligado
0145,9121,11001,,Retribuciones consecuc.objetivos,3136.0,3136.0,0.0
0145,9121,12000,,Retribuciones basicas de funcionarios,35734.0,35734.0,6405.58
0145,9121,12100,,Retribuciones complementarias funcionarios,69760.0,69760.0,19094.69
0145,9121,12105,,Retribuciones consecuc.objetivos,1112.0,1112.0,0.0
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,77501.0,77501.0,19362.32
0145,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3558.0,3558.0,744.06
0160,2381,12000,,Retribuciones basicas de funcionarios,123243.0,123243.0,24992.91
0160,2381,12100,,Retribuciones complementarias funcionarios,146939.0,146939.0,42242.7
0160,2381,12105,,Retribuciones consecuc.objetivos,4624.0,4624.0,0.0
0160,2381,14100,,Otro personal,66541.0,66541.0,22324.33
0160,2381,14101,,Retribuciones al personal de sustituciones,402.0,402.0,0.0
0160,2381,16000,,Seguridad social a cargo del ayuntamiento,123340.0,123340.0,36647.24
0160,2381,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7479.0,7479.0,1723.65
0160,2381,22711,,Plan para la igualdad,65000.0,65000.0,9022.74
0160,2381,22712,,Casa-escuela empoderamiento feminista,315000.0,315000.0,36482.07
0160,2381,22712,R,Casa-escuela empoderamiento feminista,0.0,2572.79,0.0
0160,2381,22713,,Prevención y atención violencia machista,130000.0,130000.0,49752.0
0160,2381,22714,,Agenda diversidad sexual y de genero,40000.0,40000.0,3154.2
0160,2381,48120,,Convenio observatorio lgtbi,25000.0,25000.0,0.0
0160,2381,48139,,Convocatoria de subvenciones a asoc. mujeres,130000.0,130000.0,0.0
0160,2381,48139,R,Convocatoria de subvenciones a asoc. mujeres,0.0,21734.97,0.0
0160,2381,62925,,Edificios igualdad,25000.0,25000.0,0.0
0171,3351,12000,,Retribuciones basicas de funcionarios,221896.0,221896.0,36104.2
0171,3351,12100,,Retribuciones complementarias funcionarios,268333.0,268333.0,61675.7
0171,3351,12105,,Retribuciones consecuc.objetivos,6359.0,6359.0,0.0
0171,3351,14100,,Otro personal,168344.0,168344.0,36344.41
0171,3351,14101,,Retribuciones al personal de sustituciones,2453.0,2453.0,0.0
