#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2026ko Hasierako kreditua,2026ko Behin-betiko kreditua,Obligado ,i,j,k
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6869.0,6869.0,1201.62,,,
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,1.0,1.0,0.0,,,
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,279621.0,279621.0,58322.94,,,
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,427373.0,427373.0,115748.99,,,
0130,9201,12105,,Helburuak lortu izanagatiko ordainsariak,9256.0,9256.0,0.0,,,
0130,9201,14100,,Bestelako langileak,36919.0,36919.0,9483.88,,,
0130,9201,14101,,Ordezko langileen ordainsariak,334.0,334.0,0.0,,,
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",155348.0,155348.0,39317.99,,,
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",13056.0,13056.0,2730.66,,,
0130,9201,22610,,Kalte-ordainak,1000.0,1000.0,0.0,,,
0130,9201,22617,,"Ordainsariak, minutak",30000.0,30000.0,12022.45,,,
0130,9201,62800,,Argitalpenak eta liburuak erostea,15000.0,15000.0,0.0,,,
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,295342.0,295342.0,69436.19,,,
0145,9121,11001,,Helburuak lortu izanagatiko ordainsariak,3136.0,3136.0,0.0,,,
0145,9121,12000,,Funtzionarioen oinarrizko ordainsariak,35734.0,35734.0,6405.58,,,
0145,9121,12100,,Funtzionarioen ordainsari osagarriak,69760.0,69760.0,19094.69,,,
0145,9121,12105,,Helburuak lortu izanagatiko ordainsariak,1112.0,1112.0,0.0,,,
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",77501.0,77501.0,19362.32,,,
0145,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3558.0,3558.0,744.06,,,
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,123243.0,123243.0,24992.91,,,
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,146939.0,146939.0,42242.7,,,
0160,2381,12105,,Helburuak lortu izanagatiko ordainsariak,4624.0,4624.0,0.0,,,
0160,2381,14100,,Bestelako langileak,66541.0,66541.0,22324.33,,,
0160,2381,14101,,Ordezko langileen ordainsariak,402.0,402.0,0.0,,,
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",123340.0,123340.0,36647.24,,,
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7479.0,7479.0,1723.65,,,
0160,2381,22711,,Berdintasun Plana,65000.0,65000.0,9022.74,,,
0160,2381,22712,,Jabetze feministarako eskola,315000.0,315000.0,36482.07,,,
0160,2381,22712,R,Jabetze feministarako eskola,0.0,2572.79,0.0,,,
0160,2381,22713,,Indarkeria matxistaren prebentzioa eta arreta,130000.0,130000.0,49752.0,,,
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,40000.0,40000.0,3154.2,,,
0160,2381,48120,,Hitzarmena: LGTBI behatokia,25000.0,25000.0,0.0,,,
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,130000.0,130000.0,0.0,,,
0160,2381,48139,R,Emakume elkarteentzako diru-laguntza deialdia,0.0,21734.97,0.0,,,
0160,2381,62925,,Emakume elkarteentzako diru-laguntza deialdia,25000.0,25000.0,0.0,,,
0171,3351,12000,,Berdintasun eraikinak,221896.0,221896.0,36104.2,,,
0171,3351,12100,,Funtzionarioen oinarrizko ordainsariak,268333.0,268333.0,61675.7,,,
0171,3351,12105,,Helburuak lortu izanagatiko ordainsariak,6359.0,6359.0,0.0,,,
0171,3351,14100,,Bestelako langileak,168344.0,168344.0,36344.41,,,
0171,3351,14101,,Ordezko langileen ordainsariak,2453.0,2453.0,0.0,,,
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",193700.0,193700.0,47393.45,,,
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8715.0,8715.0,1316.38,,,
0171,3351,22111,,Tresnak eta lanabesak,1500.0,1500.0,0.0,,,
0171,3351,22707,,Udaleko hainbat gastuak,10000.0,10000.0,2843.87,,,
0171,3351,22741,,Gurasoentzako euskara eskolak,480000.0,480000.0,80687.28,,,
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0,143.85,,,
0171,3351,22758,,Komunikazioa plana,30000.0,30000.0,0.0,,,
0171,3351,22780,,Euskara plana,255000.0,255000.0,8891.68,,,
0171,3351,22780,R,Euskara plana,0.0,7131.76,3502.0,,,
0171,3351,22781,,Gasteiz euskararen hiria,75000.0,75000.0,0.0,,,
0171,3351,22799,,"Kanpoko itzulpenak, euskera",10000.0,10000.0,551.32,,,
0171,3351,41803,,Hitzarmena: Euskaltzaindia,50000.0,50000.0,0.0,,,
0171,3351,41803,R,Hitzarmena: Euskaltzaindia,0.0,10000.0,10000.0,,,
0171,3351,42302,,Hitzarmena: merkataritza-ganbera,7000.0,7000.0,0.0,,,
0171,3351,42302,R,Hitzarmena: merkataritza-ganbera,0.0,1400.0,0.0,,,
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,0.0,,,
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,30000.0,30000.0,0.0,,,
0171,3351,48005,,Euskararen Plan Nagusiko dirulaguntzak,223000.0,223000.0,0.0,,,
0171,3351,48005,A,Euskararen Plan Nagusiko dirulaguntzak,0.0,4425.46,0.0,,,
0171,3351,48005,R,Subvencion plan general uso del euskera,0.0,39800.02,1374.72,,,
0171,3351,48009,,EUSKALGINTZA SEKTOREA MODERNIZATZEA,125000.0,125000.0,0.0,,,
0171,3351,48044,,Hitzarmena GEUrekin,87000.0,87000.0,0.0,,,
0171,3351,48044,R,Hitzarmena GEUrekin,0.0,15400.0,15400.0,,,
0171,3351,48064,,Hitzarmena: Korrika,4000.0,4000.0,0.0,,,
0171,3351,48065,,Hitzarmena: Euskaraldia,50000.0,50000.0,0.0,,,
0171,3351,48065,R,Hitzarmena: Euskaraldia,0.0,10000.0,0.0,,,
0171,3351,48101,,Hitzarmena: Araba Euskaraz,10000.0,10000.0,8000.0,,,
0171,3351,48101,R,Hitzarmena: Araba Euskaraz,0.0,4000.0,4000.0,,,
0171,3351,48103,,Hitzarmena: Lazarraga - Izaskun arrue kulturgunea,400000.0,400000.0,0.0,,,
0171,3351,48103,R,Hitzarmena: Lazarraga - Izaskun arrue kulturgunea,0.0,66000.0,0.0,,,
0171,3351,48997,,Hitzarmena: Bai Euskarari,25000.0,25000.0,0.0,,,
0171,3351,48997,R,Hitzarmena: Bai Euskarari,0.0,4600.0,0.0,,,
0171,3351,62501,,Euskararen etxea,110000.0,110000.0,80.9,,,
0171,3351,62501,R,Euskararen etxea,0.0,24954.08,24954.08,,,
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0,1000.0,0.0,,,
0180,3293,41902,,EHUrekiko hitzarmena: nazioarteko zuzenbide ikastaroak,30000.0,30000.0,0.0,,,
0180,3293,41902,R,EHUrekiko hitzarmena: nazioarteko zuzenbide ikastaroak,0.0,6000.0,3331.12,,,
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,157098.0,157098.0,34334.25,,,
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,194735.0,194735.0,56333.72,,,
0180,9271,12105,,Helburuak lortu izanagatiko ordainsariak,6372.0,6372.0,0.0,,,
0180,9271,14100,,Bestelako langileak,11004.0,11004.0,35550.88,,,
0180,9271,14101,,Ordezko langileen ordainsariak,171.0,171.0,0.0,,,
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",102360.0,102360.0,42795.88,,,
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7447.0,7447.0,2535.96,,,
0180,9271,22603,,Argitalpenak eta publizitatea,499999.0,499999.0,76892.35,,,
0180,9271,22612,,Eguneko prentsa erostea,20000.0,20000.0,2868.64,,,
0180,9271,22616,,Prentsa-zerbitzuak,40000.0,40000.0,3024.36,,,
