#Ekonomikoa,Diru-sarreren aplikazioaren izena,BEHIN-BETIKO K.,DRN GARBIAK
11201,Landa-lurreko ondasun higiezinen gaineko zerga,310000.0,688.16
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,49000000.0,63905.44
11203,Ezaugarri bereziko higiezinak,500000.0,0.0
11301,Trakzio mekanikoko ibilgailuen gaineko zerga,16000000.0,15929334.75
11401,Hiri-lurren balio-gehikuntzaren gaineko zerga,14000000.0,4401464.62
13001,Ekonomi jardueren gaineko zerga,16250000.0,144786.74
13002,Probintziako eta Estatuko kuotetako partaidetza,1400000.0,0.0
28201,"Eraikuntza, Instalazio eta Obren gaineko Zerga",12600000.0,4399682.52
28301,Ehiza lurraldearen erabilera  ,2500.0,0.0
30001,Erabilgarri ez diren ondasunak saltzea,10000.0,483.0
30002,Argitalpen eta inprimakien salmenta,5000.0,211.0
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,0.0
30006,Energia elektrikoko salmenta,20000.0,0.0
30007,Turismo Bulegoko ondasunen salmenta,40000.0,9158.38
31001,Zaborrak bildu eta suntsitzea,20500000.0,571.75
31003,Hileta-zerbitzuak,650000.0,457777.38
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",150000.0,7329.46
31005,Ibilgailuak bide publikotik kentzea,500000.0,108599.31
31008,Prebentzio eta Su Itzaltze Zerbitzua,10000.0,39.6
31013,Gardelegiko zabortegian hondakinak hustea,4400000.0,1021187.22
31020,Hirigintza-kontsultei erantzutea,8500.0,2089.49
31021,Etxeetakoez kanpoko ur zikinak isurtzea,150000.0,0.0
31022,Herritarren Udal Txartelaren kopia,13500.0,3173.63
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,55000.0,7737.85
31027,Azterketa-tasak,5000.0,25.8
31028,Biokonpost-lantegia,3200000.0,737915.92
31029,Ontzi eta hondakinen gaikako bilketa,2500000.0,1140134.85
31101,Establezimenduak irekitzeko lizentziak,345000.0,96234.78
31105,TAO,0.0,150.25
31201,Hirigintza-lizentziak ematea,400000.0,295773.71
32001,TAO,2550000.0,920946.33
32005,Salbatzailearen hilerriko lurzoru-lagapenak,150000.0,26154.49
32102,Bide publikoetako kioskoak,3030.0,730.74
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",1400000.0,332885.56
32104,Bide publikoetako mahaitxoak,530000.0,1771.53
32105,Bide publikoetako instalazioak,600000.0,47736.53
32107,"Zangak irekitzea, hesiak...",35000.0,18033.82
32109,"Lurra, lurgaina eta lurpea okupatzea",100000.0,110361.98
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,4500000.0,1022581.76
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",225000.0,47732.25
32112,Gizarte-etxeetako aretoak erabiltzea,50000.0,14551.56
32113,Jundizko enpresa-zentroko aretoak erabiltzea,11000.0,9371.15
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,2900.0,136.79
32115,Energia garraioa,150000.0,0.0
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1700000.0,875128.41
34001,Osasun publikoko tailerrak,20000.0,59.43
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",200000.0,22209.32
34004,Etxez etxeko laguntza (3. adina),4900000.0,1275834.7
34005,Egoitzetako egonaldiak (3. adina),3400000.0,870941.71
34006,Gizartegintzako tailerrak,84000.0,1861.61
34007,Lanaren bidezko prestakuntza,25000.0,6861.24
34008,Mendizorrotzeko instalazioetarako abonamendua,6400000.0,6389931.18
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),145000.0,20500.5
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),1300000.0,268442.87
34012,Udal Folklore Akademiako matrikulak,0.0,27066.41
34013,Kultura-ikastaroak eta tailerrak,380000.0,111907.72
34014,Antzokiko leihatilak,400000.0,252.5
34015,Ludoteketako zerbitzuak,50000.0,1291.99
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",10000.0,1484.61
34018,Lehendakaritzako tailerrak,225000.0,31408.34
34020,Kirol kanpainetako abonatuak,1350000.0,331016.85
34021,Osasun Zerbitzuaren prezioa,0.0,60.0
34024,Tutoretzapeko etxebizitzetan egotea,50000.0,4396.04
34025,Adinekoentzako zentro soziokulturaletako bazkariak,2480.0,425.01
34026,Egoitzetako egonaldien likidazioa (3. adina),125000.0,220.0
34027,Podologia-zerbitzuak BIZANen,300000.0,0.0
34029,Prestakuntza-ikastaro eta -jarduerak,5000.0,0.0
34032,Lehendakaritzako sarrera salmenta,5000.0,843.0
34038,Ezkontza-zerbitzua,25000.0,7023.17
34039,Kudeaketa gastuen konpentsazioa,400000.0,104.52
34040,Autobus-geltoki berriko diru-sarrerak,900000.0,312019.33
34041,Udalaren hiri-baratzeetan lursailak erabiltzea,10500.0,10997.2
