#Ekonomikoa,Diru-sarreren aplikazioaren izena,BEHIN-BETIKO K.,DRN GARBIAK
34043,Bizikleta-aparkaleku seguruen kudeaketako diru-sarrerak,30000.0,19582.76
34045,Auto-karabanen aparkalekuetako diru-sarrerak,65000.0,0.0
36100,Suteak itzaltzea -UNESPA eta hitzartu gabeko konpainien kuota,1250000.0,-135.42
38001,Ordainketak itzultzea,1050000.0,222180.77
38002,Iragarki-argitalpenen gastuak itzultzea,100000.0,4824.17
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,1.0,30982.72
38004,Premiamendu-bideko kostuak itzultzea,1000.0,679.21
38005,Bide judizialeko kalte-ordainak itzultzea,1000.0,1193.8
38008,Zerbitzu-ustiapenen itzulketak,118000.0,16461.78
39101,Trafiko arau-hausteengatiko isunak,5900000.0,1350939.47
39102,Prozedura zigortzaileetako diru-sarrerak,1200000.0,594715.51
39201,Kontratu-hausteengatiko zehapenak,900000.0,272161.04
39401,Premiamendu-gainordainak,28000.0,9393.99
39402,Auto-istripuek bide publikoan eragindako kalteak,5000.0,0.0
39403,Ekintza basatiek ondasunetan eragindako kalteak,5000.0,692.93
39404,SPEIS-eko jarduerak,10000.0,0.0
39405,Betearazte subsidiarioengatiko sarrerak,10000.0,2225.67
39601,Epai kostuek sortutako sarrerak,800000.0,175997.88
39901,Telefonia-enpresen sarrerak,1.0,0.0
39902,Bestelako diru-sarrerak,250000.0,2898.7
39903,Aurreko ekitaldietako berandutze-interesak,99.0,0.0
39906,Floridako jaiotzako dohainak,1.0,14687.87
39907,San Anton zozketako diru-sarrerak,1.0,15646.0
39909,Aparkalekuetako diru-sarreretako partizipazioa,50000.0,0.0
40000,Administrazio Orokorretik,170376.08,8149.84
40001,Hitzartu gabeko zergak,288433.2,100676.61
41000,Eusko Jaurlaritzatik,19524145.87,134309.37
42000,Arabako Foru Aldunditik,6692142.69,1222258.66
42001,FOFEL,244634967.72,61220008.56
42002,FOFEL-Likidazioa,0.0,9892045.77
47000,Partaidetutako enpresetatik,3000.0,0.0
48000,Familietatik eta irabazi-asmorik gabeko erakundeak,55000.0,0.0
48001,Vital Fundazioa - Hazia gazteen laneratzera hitzarmena,60000.0,0.0
49000,Europar Batasuneko erakundeetatik,153822.0,69822.0
49001,"Enplegurako prestakuntza-proiektuak, toki-erakundeek sustatuak",272916.28,0.0
52500,Udalaren interesak banku eta kutxetan,1200000.0,182267.52
54001,Udalaren hiri-funtsen alokairu-errentak,125000.0,7006.25
54002,Enpresa-mintegietako lokalak alokatzea,130000.0,31079.82
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000.0,0.0
54101,Landa-funtsen alokairua,0.0,32.41
55000,Emakiden emaitzak,1250000.0,71008.67
55004,Aparkaleku-plazak erabiltzeko lagapena,20000.0,0.0
55200,Aprobetxamendu bereziak,500000.0,0.0
59002,Lur sailak erabiltzea,20000.0,46.58
60300,Lurzoruaren udal-ondarea,5075000.0,0.0
60301,ELM sektoreko etxebizitza-blokeetako partzelen salmenta,5700000.0,0.0
61200,Eraikinak eta bestelako eraikuntzak,3209565.12,0.0
70000,Estatutik ,0.0,-3675.18
71000,Eusko Jaurlaritzatik,15693292.37,5994854.37
72000,Arabako Foru Aldunditik,6049670.0,0.0
73000,Udalerriko erakunde publikoetatik,40000.0,0.0
79000,Erdi Aroko hiriguneko EGEF PAI funtsak,682585.84,0.0
87001,Gastu orokorretarako diruzaintzako gerakin,14159225.5,0.0
87002,Finantzaketa lotua duten gastuetarako diruza,26387752.17,0.0
93301,Inbertsioak finantzatzeko finantza-pasiboak,12494519.11,0.0
