#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,DRN
39404,Betearazte subsidiarioengatiko sarrerak,10000.0,10000.0,403.09
39405,Epai kostuek sortutako sarrerak,25000.0,25000.0,14371.55
39601,Telefonia-enpresen sarrerak,850000.0,850000.0,969157.25
39901,Dohaintzak,2000.0,2000.0,1170.29
39902,Bestelako diru-sarrerak,50000.0,50000.0,219135.19
39903,Aurreko ekitaldietako berandutze-interesak,4000.0,4000.0,5281.03
39906,Floridako jaiotzako dohainak,1.0,11225.13,11225.13
39907,San Anton zozketako diru-sarrerak,1.0,1.0,15466.77
39909,San Martineko aparkalekuko diru-sarreretako partaidetza,0.0,0.0,139758.64
40000,Administrazio Orokorretik,136001.0,136001.0,8991.58
41000,Eusko Jaurlaritzatik,12912432.0,14889799.1,13166545.29
42000,Arabako Foru Aldunditik,7492099.63,17318085.05,17366342.38
42001,FOFEL,147882505.09,147882505.09,148426111.89
42003,Hitzartu gabeko zergak,290000.0,290000.0,301681.56
42004,Estatuaren laguntzak berreskuratzea,0.0,0.0,601593.53
47000,Enpresetatik,60000.0,100000.0,80000.0
49000,Europar Batasuneko erakundeetatik,460000.0,460000.0,975900.59
52500,Udalaren interesak banku eta kutxetan,10000.0,10000.0,78229.91
53100,Udal partaidetza duten enpresen irabazietako partaidetza,0.0,0.0,0.0
53200,Beste enpresa batzuetatik,0.0,0.0,16.01
54001,Udalaren hiri-funtsen alokairu-errentak,150000.0,150000.0,136388.33
54002,Enpresa-mintegietako lokalak alokatzea,100000.0,100000.0,103351.96
54200,Landa-funtsen alokairua,32.41,32.41,0.0
55000,Emakiden emaitzak,1880000.0,1880000.0,1412986.49
59001,Suhiltzaileen etxeko instalazioak erabiltzea,400.0,400.0,180.0
59002,Lur sailak erabiltzea,40000.0,40000.0,38914.96
60900,Lursailetatik - Udal lursailak besterentzea,4930000.0,4930000.0,2575916.79
60901,Ustiapenen nahitaezko lagapenak,0.0,0.0,320710.62
61200,Eraikinak eta bestelako eraikuntzak,8050000.0,8050000.0,0.0
70000,Estatutik,0.0,0.0,-175000.0
71000,Eusko Jaurlaritzatik,542000.0,831310.24,995400.4
72000,Arabako Foru Aldunditik,0.0,1082191.45,1082191.45
79000,Europar Batasuneko erakunde publikoak,0.0,0.0,-621040.21
87200,Diruzaintzako soberakina gastu orokorretarako,0.0,2279414.79,0.0
87210,Diruzaintzako soberakina finantzaketa atxikia duten gastuetarako,0.0,1154881.21,0.0
93301,Inbertsioak finantzatzeko finantza-pasiboak,11687000.0,11987009.23,11987009.23
