#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,DRN
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga eta Gizarte Segurantza,296000.0,296000.0,288263.59
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,43087993.35,44087993.35,44418987.32
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16600000.0,16825000.0,16986949.91
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,12155000.0,12155000.0,13275257.66
13001,Ekonomia Jardueren gaineko Zerga,13100000.0,14100000.0,15443319.73
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0,1450000.0,1450000.0
28201,Eraikuntza eta instalazioen gaineko zergak,6350000.0,6350000.0,7576642.46
28301,Ehiza esparruaren ustiapena,0.0,0.0,2111.0
30001,Erabilgarri ez diren ondasunak saltzea,40000.0,40000.0,14540.0
30002,Argitalpen eta inprimakien salmenta,1000.0,1000.0,30592.89
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,5000.0,986.0
30006,Energia elektrikoa saltzea,3000.0,3000.0,8943.95
30007,Turismo Bulegoko ondasun eta elementuen salmenta,25000.0,25000.0,32928.59
31001,Zaborrak bildu eta suntsitzea,10900000.0,10900000.0,10574435.42
31002,Ontzi eta hondakinen gaikako bilketa,1706000.0,1706000.0,1645346.27
31003,Prebentzio eta Su Itzaltze Zerbitzua,6000.0,6000.0,5849.79
31004,Ibilgailuak bide publikotik kentzea,300000.0,300000.0,234109.24
31005,Hirigintza-kontsultei erantzutea,15000.0,15000.0,6716.23
31006,Hirigintza-lizentziak,250000.0,250000.0,375241.84
31007,Establezimenduak irekitzeko lizentziak,300000.0,300000.0,345497.82
31008,Etxeetakoez kanpoko ur zikinak isurtzea,327510.0,327510.0,310091.39
31009,Gardelegiko zabortegian hondakinak hustea,4000000.0,4000000.0,4520702.29
31010,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",300000.0,300000.0,188132.67
31012,Hileta-zerbitzuak.,660000.0,660000.0,583611.94
31015,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,250000.0,250000.0,325419.84
31016,Azterketa-tasak,7000.0,7000.0,5247.4
31019,Herritarren Udal Txartela bikoiztea,10000.0,10000.0,13160.15
31020,Biokonpost-lantegia,750000.0,750000.0,0.0
31101,Instalazioak bide publikoan,650000.0,650000.0,589135.66
31102,Kioskoak bide publikoan,2500.0,2500.0,2583.72
31103,Mahaitxoak bide publikoan,280000.0,280000.0,317977.93
31104,Zangak eta beste irekitzea,500000.0,500000.0,513337.87
31105,TAO,2000000.0,2000000.0,1894966.53
31106,"Lurra, lurgaina eta lurpea okupatzea, Gasnalsa eta Iberdrola barne",5150000.0,5150000.0,3436604.52
31108,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",120000.0,120000.0,180796.38
31109,Gizarte-etxeetako aretoak erabiltzea,30000.0,30000.0,30527.69
31110,Ibilgailuen pasabideak,1550000.0,1550000.0,1522598.02
31111,Salbatzailearen hilerriko lurzoru-lagapenak,140000.0,140000.0,180228.7
31112,Jundizko enpresa zentroko aretoak erabiltzea,10000.0,10000.0,2206.31
31113,Autotaxi lizentzia eskuratzeko azterketa,0.0,0.0,162.54
31115,Adinduentzako zentro soziokulturaletako espazioak erabiltzea,1000.0,1000.0,1806.75
34000,Udal sozietate anonimoek zerbitzuak ematea,440000.0,440000.0,319586.55
34001,Osasun eta Kontsumo Sailaren lantegiak,30000.0,30000.0,29049.52
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",650000.0,650000.0,440028.04
34004,Etxez etxeko laguntza (3. adina),550000.0,550000.0,706686.85
34005,Egoitzetako egonaldiak (3. adina),3600000.0,3600000.0,3761306.4
34006,Gizartegintzako lantegiak,70000.0,70000.0,81723.97
34007,Lanaren bidezko prestakuntza,50000.0,50000.0,24904.66
34008,Mendizorrotzeko instalazioetarako abonamendua,5650000.0,5650000.0,5924173.9
34009,Aldi baterako abonamenduak (Gamarra),150000.0,150000.0,153768.1
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),1150000.0,1150000.0,819685.07
34012,Udal Folklore Akademiako matrikulak,146000.0,146000.0,62156.13
34013,Kultur ikastaro eta lantegiak,300000.0,300000.0,302845.8
34014,Antzokiko leihatilak,350000.0,350000.0,221719.34
34015,Ludoteketako zerbitzuak,0.0,0.0,12083.05
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",8000.0,8000.0,8105.88
34018,Lehendakaritzako lantegiak,285000.0,285000.0,251476.74
34020,Kirol kanpainetako abonatuak,1250000.0,1250000.0,1111372.15
34021,Osasun Zerbitzuaren prezioa,62000.0,62000.0,10065.0
34023,"Egonaldia, CAMAS",40000.0,40000.0,51448.36
34025,Adinekoentzako zentro soziokulturaletako bazkariak,400000.0,400000.0,414482.7
34026,Egoitzetako egonaldien likidazioa (3. adina),60000.0,60000.0,63673.9
34032,Lehendakaritzako sarrera-salmenta,0.0,0.0,6250.94
34038,Ezkontza-zerbitzua,30000.0,30000.0,23400.5
34039,Kudeaketa gastuen konpentsazioa,1000000.0,1000000.0,872744.96
34040,Autobus-geltoki berriko diru-sarrerak,580000.0,580000.0,816243.73
36002,Urbanizazio-kuotak,350000.0,350000.0,0.0
36003,Unespa eta hitzartu gabeko konpainien kuota,975000.0,975000.0,948975.46
38001,Ordainketak itzultzea,700000.0,700000.0,899062.13
38002,Iragarki-argitalpenen gastuak itzultzea,50000.0,50000.0,74216.12
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,215052.15,527603.13,805133.57
38004,Premiamendu-bideko kostuak itzultzea,8000.0,8000.0,16025.21
38005,Bide judizialeko kalte-ordainak itzultzea,15000.0,15000.0,12421.51
38008,Zerbitzu-ustiapenetako itzulketak,0.0,0.0,79266.79
39101,Trafiko arau-hausteengatiko isunak,5480000.0,5480000.0,5206272.45
39102,Zerga-ikuskaritzako arau-hausteengatiko isunak,700000.0,700000.0,988751.83
39103,Kontratua ez betetzeagatiko zigorrak,40000.0,40000.0,493698.43
39201,Premiamendu-gainordainak,950000.0,950000.0,912289.49
39401,Auto-istripuek bide publikoan eragindako kalteak,100000.0,100000.0,142017.0
39402,Ekintza basatiek ondasunetan eragindako kalteak,5000.0,5000.0,9365.61
39403,SISZren jardunak galtzadak garbitzeko,0.0,0.0,209.02
39404,Betearazte subsidiarioengatiko sarrerak,113004.93,113004.93,69805.8
39405,Epai kostuek sortutako sarrerak,25000.0,25000.0,1906.93
39601,Telefonia-enpresen sarrerak,850000.0,850000.0,980299.72
39901,Dohaintzak,2000.0,2000.0,1066.82
39902,Bestelako diru-sarrerak,50000.0,50000.0,89677.88
39903,Aurreko ekitaldietako berandutze-interesak,4000.0,4000.0,-7126.16
39906,Floridako jaiotzako dohainak,11226.13,24900.07,13673.94
39907,San Anton zozketako diru-sarrerak,1.0,1.0,14129.6
39909,Aparkalekuetako diru-sarreretako partizipazioa,200000.0,200000.0,2260.07
40000,Administrazio Orokorretik,133810.64,133810.64,63844.4
41000,Eusko Jaurlaritzatik,16840266.4,17420266.4,14483360.84
42000,Arabako Foru Aldunditik,10247664.42,10372694.34,9473297.99
42001,FOFEL,157011216.15,157011216.15,157136326.12
42003,Hitzartu gabeko zergak,300000.0,300000.0,373845.21
47000,Enpresetatik,0.0,40000.0,95000.0
48000,Familietatik,0.0,0.0,0.0
