#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,DRN
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga,296000.0,296000.0,295643.18
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,44400000.0,44400000.0,45600776.73
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,14200000.0,14200000.0,14071579.35
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,14000000.0,14000000.0,22397279.16
13001,Ekonomia Jardueren gaineko Zerga,15300000.0,15300000.0,15782069.2
13002,"Probintziako eta Estatuko kuotetako partaidetza, EJZ",1000000.0,1000000.0,1064667.54
28201,"Eraikuntza, Instalazio eta Obren gaineko Zerga",4000000.0,4000000.0,7012834.2
30001,Erabilgarri ez diren ondasunak saltzea,15000.0,15000.0,39918.95
30002,Argitalpen eta inprimakien salmenta,1000.0,1000.0,0.0
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,5000.0,28188.51
30006,Energia elektrikoa saltzea,8000.0,8000.0,4117.37
30007,Turismo Bulegoko ondasun eta elementuen salmenta,70000.0,70000.0,2000.0
31001,Zaborrak bildu eta suntsitzea,10400000.0,10400000.0,10428269.88
31002,Ontzi eta hondakinen gaikako bilketa,1520000.0,1520000.0,1590776.83
31003,Prebentzio eta Su Itzaltze Zerbitzua,10000.0,10000.0,6128.88
31004,Ibilgailuak bide publikotik kentzea,300000.0,300000.0,238334.25
31005,Hirigintza-kontsultei erantzutea,15000.0,15000.0,3485.48
31006,Hirigintza-lizentziak,150000.0,150000.0,296351.53
31007,Establezimenduak irekitzeko lizentziak,250000.0,250000.0,313964.44
31008,Etxeetakoez kanpoko ur zikinak isurtzea,400000.0,400000.0,134929.91
31009,Gardelegiko zabortegian hondakinak hustea,3800000.0,3800000.0,4019732.98
31010,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",200000.0,200000.0,386651.41
31012,Hileta-zerbitzuak.,600000.0,600000.0,569910.58
31015,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,80000.0,80000.0,360235.08
31016,Azterketa-tasak,1.0,1.0,2762.9
31019,Herritarren Udal Txartela bikoiztea,0.0,0.0,13227.0
31101,Instalazioak bide publikoan,650000.0,650000.0,592871.57
31102,Kioskoak bide publikoan,2600.0,2600.0,2796.47
31103,Mahaitxoak bide publikoan,250000.0,250000.0,271429.73
31104,Zangak eta beste irekitzea,250000.0,250000.0,508328.99
31105,TAO,2000000.0,2000000.0,1751182.49
31106,"Lurra, zorupea eta hegalkina hartzea",4000000.0,4000000.0,4955030.14
31108,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",150000.0,150000.0,139490.72
31109,Gizarte-etxeetako aretoak erabiltzea,30000.0,30000.0,46196.7
31110,Ibilgailuen pasabideak,1400000.0,1400000.0,1547244.44
31111,Salbatzailearen hilerriko lurzoru-lagapenak,200000.0,200000.0,236246.26
31112,Jundizko enpresa zentroko aretoak erabiltzea,4000.0,4000.0,3897.61
31113,Autotaxi lizentzia eskuratzeko azterketa,0.0,0.0,108.36
31115,Adinduentzako zentro soziokulturaletako espazioak erabiltzea,0.0,0.0,1431.75
34000,Udal sozietate anonimoek zerbitzuak ematea,1525000.0,1525000.0,881012.68
34001,Osasun eta Kontsumo Sailaren lantegiak,10000.0,10000.0,42328.17
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",647485.6,647485.6,550079.56
34004,Etxez etxeko laguntza (3. adina),550000.0,550000.0,573795.74
34005,Egoitzetako egonaldiak (3. adina),3600000.0,3600000.0,3579983.2
34006,Gizartegintzako lantegiak,70000.0,70000.0,79093.99
34007,Lanaren bidezko prestakuntza,50000.0,50000.0,42482.32
34008,Mendizorrotzeko instalazioetarako abonamendua,5650000.0,5650000.0,5794877.74
