#Ekonomikoa,Diru-sarreren aplikazioaren izena,"Behin betiko kreditua 2020","DRN 2020"
39901,Dohaintzak,2000.0,0.0
39902,Bestelako diru-sarrerak,50000.0,-573.78
39903,Aurreko ekitaldietako berandutze-interesak,4000.0,0.0
39906,Floridako jaiotzako dohainak,15405.33,15301.8
39907,San Anton zozketako diru-sarrerak,1.0,15161.5
39909,Aparkalekuetako diru-sarreretako partizipazioa,40000.0,22887.23
40000,Administrazio Orokorretik,459389.78,0.0
41000,Eusko Jaurlaritzatik,21435581.2,7416737.58
42000,Arabako Foru Aldunditik,9672632.1,7804018.16
42001,FOFEL,177063344.94,132961746.94
42003,Hitzartu gabeko zergak,300000.0,150803.54
43000,"Ente publikoak, udalerriaren barruan",10000.0,0.0
48000,Familietatik,130000.0,53000.0
49000,Europar Batasuneko erakundeetatik,209593.59,91676.78
52500,Udalaren interesak banku eta kutxetan,5000.0,0.0
54001,Udalaren hiri-funtsen alokairu-errentak,135000.0,17468.07
54002,Enpresa-mintegietako lokalak alokatzea,125000.0,58799.79
54003,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000.0,0.0
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,0.0,22753.81
55000,Emakiden emaitzak,800000.0,387699.12
55004,Aparkalekuak erabiltzeko lagapena,0.0,28693.03
55902,Hiri-altzarietako publizitatea ustiatzeko emakida,150000.0,0.0
59002,Lur sailak erabiltzea,40000.0,38914.96
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",250000.0,1412450.01
60900,Lursailetatik - Udal lursailak besterentzea,5191532.94,0.0
61200,Eraikinak eta bestelako eraikuntzak,537000.0,0.0
65000,Dato-Alaba Jeneralean etxebizitzak eraikitzeko baimenak ekarritako hirigintza-gainbalioak,976694.0,0.0
71000,Eusko Jaurlaritzatik,21524326.46,841898.58
72000,Arabako Foru Aldunditik,9741486.1,0.0
73000,"Ente publikoak, udalerrian",25000.0,0.0
87200,"Diruzaintza-soberakina, gastu orokorretarako",13349472.74,0.0
87201,"Diruzaintza-soberakina, atxikitako finantzaketako gastuetarako",21255269.78,0.0
93301,Inbertsioak finantzatzeko maileguak,10750000.0,0.0
