#Económico,Denominacion Aplicacion Ingresos,C.DEFINITVO,DRN NETOS
55000,Productos de concesiones,750000,1217114.01
55004,Cesion de uso plazas aparcamiento,30000,0
59002,Utilizacion de terrenos,20000,7888.73
60300,Venta de terrenos pms (incluidos honorarios de proy basicos),12803400,174169.96
61200,De edificios y otras construcciones,880000,51168.44
65100,Cesiones obligatorias aprovechamiento,0,2079928.94
70000,Del estado,0,31912.5
71000,Del gobierno vasco,10924897.17,8529164.95
72000,De la diputacion foral de alava,4255000,2897046.39
73000,Entes publicos dentro termino municipal,40000,39523.4
77000,Empresas privadas,8050,8050
87001,Rtgg,29828305.55,0
87002,Rtgfa,41315927.4,0
93301,Prestamos para la financiacion de inversiones,15289805.62,15289805.61
