#Económico,Denominacion Aplicacion Ingresos,C.DEFINITVO,DRN NETOS
11201,Impuesto b.inmuebles naturaleza rustica,295000,294556.3
11202,Impuesto b.inmuebles naturaleza urbana,45000000,45331223.47
11203,Impuesto caracteristicasespeciales,475000,466779.05
11301,Impuesto sobre vehiculos traccion mecanica,15825000,15371867.2
11401,Impuesto sobre incremento valor terrenos,15150000,13235539.63
13001,Impuesto sobre actividades economicas,14725000,14989687.5
13002,Participacion en cuotas provinciales y estatales,1500000,1300000
28201,Impuestos sobre construcciones e instalaciones,12000000,19644618.08
28301,Aprovechamiento del coto de caza,0,2500
30001,Venta de efectos no utilizables,10000,22763.15
30002,Venta de publicaciones e impresos,5000,0
30004,Venta de bienes y efectos en montehermoso,5000,576.45
30006,Venta de energia electrica,25000,5825.84
30007,Venta de bienes y efectos oficina de turismo,40000,68252.32
31001,Recogida y eliminacion de basuras,11125000,11240116.55
31003,Servicios funerarios,625000,632507.63
31004,"Expedición de informes, atestados, fotocopias, planos y similares",200000,121361.66
31005,Retirada de vehículos de la vía pública,550000,328563.81
31008,Servicio de prevención y extinción de incendios,10000,3483.87
31013,Vertido de residuos en vertedero de gardelegi,4500000,3682828.75
31020,Evacuación de consultas urbanísticas,8080,10492.19
31021,Vertido de aguas residuales no domesticas,200000,93008.27
31022,Duplicado tmc,13000,10927.8
31026,Prestación servicios salud publica,60000,52584.34
31027,Tasas de exámenes,65000,13071.89
31028,Planta biocompost,2500000,2269686.03
31029,Recogida selectiva de envases y residuos,1885000,1553986.75
31101,Licencias de apertura de establecimientos,330000,363225.8
31105,Ota,0,287.5
31201,Otorgamiento de licencias urbanísticas,620000,810367.01
32001,Ota - estacionamiento de vehículos en vías publicas,1900000,2115739.5
32005,Cesiones de terrenos cementerio el salvador,180000,205028.69
32102,Quioscos en vía pública,3000,2742.24
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",700000,920594.72
32104,Veladores en vía pública,500000,477290.07
32105,Instalaciones en vía publica,575000,547114.47
32107,Apertura de calicatas y zanjas,50000,54090.79
32109,"Ocupación del suelo, subsuelo y vuelo",250000,508368.01
32110,"Ocupación suelo, subsuelo, vuelo empr explotadora suministros",5800000,3205208.9
32111,"Utilización del palacio de congresos, principal, pza toros...",225000,238789.08
32112,Utilización de salas en centros cívicos,60000,42322.84
32113,Uso salas en centro empresas jundiz,9900,6663.03
32114,Uso espacios en cscm,2500,1610.02
32115,Transporte de energia,300000,0
32201,Entrada de vehículos por las aceras y reservas de la vía publica para aparcamien,1650000,1574097.42
34001,Talleres salud publica,15500,15584.89
34002,"Escuelas infantiles,colonias abiertas y rincones de juego",230000,70428.73
34004,Asistencia a domicilio 3ª edad,2900000,3816313.7
34005,Estancias residencias 3ª edad,3260000,3276345.28
34006,Talleres de intervencion social,70000,69454.32
34007,Formacion ocupacional,24000,26285.08
34008,Abono instalaciones mendizorrotza,6150000,6219705.46
34009,Abonos temporales y de temporada (gamarra),140000,176858.15
34010,Utilizacion instalaciones deportivas (reserva y venta),1350000,1050663.22
34012,Matriculas en la academia mpal. de folklore,80000,85876.17
34013,Cursos y talleres de cultura,380000,362728.91
34014,Taquillas  teatro,450000,460134.78
34015,Prestacion de servicios de ludotecas,40000,49404.83
34016,Prestamos de material audiovisual e luminacion de juventud,7000,6250.03
34018,Talleres de presidencia,225000,210800.64
34020,Abonados a campañas deportivas,1100000,951584.78
34023,Estancia en el c.a.m.a.s.,50000,0
34024,Estancias en pisos tutelados,4000,19484.59
34025, comidas centro socioculturales de mayores,2730,664.71
34026,Liquidacion estancias en residencias 3ª edad,125000,54987.38
34029,Cursos y actividades formativas,5000,0
34032,Venta de entradas presidencia,5000,4409.2
34038,Servicio de bodas,20000,23142.27
34039,Compensacion gastos de gestion,938599.25,1411922.8
34040,Ingresos estación de autobuses,700000,683176.5
34041,Uso de parcelas en huertos urbanos,10100,7979.06
34043,Ingresos aparcamientos de bicicletas seguros,20000,29919.78
36100,Extinción incendios - cuota unespa y cias no conveniadas,1205000,1142521.18
38001,Reintegro por pagos,850000,1638669.95
38002,Reintegros gastos por publicaciones en anuncios,30000,29335.32
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,620001,1904940.13
38004,Reintegros por costas de la via de apremio,8000,2145.18
38005,Reintegro indemnizaciones via judicial,1000,5045.37
38008,Reintegro explotaciones de servicios,118000,100051.28
39101,Multas por infracciones de trafico,5000000,5064330.91
39102,Ingresos por procedimientos sancionadores,1500000,1348210.07
39103,Sanciones por incumplimientos contractuales,0,40463.09
39201,Recargos de apremio,950000,834448.83
39401,Daños en via publica por accidentes de vehiculos,60000,26552.61
39402,Daños en bienes mpales.por actos vandalicos,15000,7.42
39403,Actuaciones del seis por limpieza de calzadas por accid,5000,1404.63
39404,Ingresos ejecuciones subsidiarias,20000,0
39405,Ingresos derivados de costas judiciales,25000,5457.43
39601,Ingresos  empresas de telefonia,800000,662991.03
39902,Otros ingresos diversos,250000,77333.68
39903,Intereses demora ejercicios anteriores,1000,0
39906,Donativos belen de la florida,1,19763.23
39907,Ingresos rifa san anton,1,16649.5
39909,Participacion ingresos aparcamientos,20000,2623.29
40000,De la admon. general,2719555.44,2181070.8
40001,Impuestos no concertados,288000,548540.47
41000,Del gobierno vasco,20864063.68,19373259.13
42000,De la diputacion foral de alava,7618298.86,7606590.54
42001,Fofel,214014917.84,216462908.1
42002,Liquidacion fofel,4267024.23,4505255.98
47000,De empresas participadas,5950,2950
48000,De familias,55000,95025
48001,Fundación vital - convenio hazia inserción laboral de jóvenes,53000,0
49000,De entes de la union europea,123000,86967.47
52500,Intereses en cajas y bancos ayuntamiento,2561200,2579144.07
54001,Rentas arrendamientos fincas urbanas ayto,125000,189839.56
54002,Arrendamiento locales semillero de empresas,130000,128765.29
54004,Servicio hostelería en inmuebles municipales,25000,30349.69
