#Ekonomikoa,Diru-sarreren aplikazioaren izena,"Behin betiko kreditua 2021",DRN NETOS
39903,Aurreko ekitaldietako berandutze-interesak,1000.0,-119.71
39906,Floridako jaiotzako dohainak,5405.47,5404.47
39907,San Anton zozketako diru-sarrerak,1.0,8342.8
39909,Aparkalekuetako diru-sarreretako partizipazioa,25000.0,1947.25
40000,Administrazio Orokorretik,622600.0,3272898.01
40001,Hitzartu gabeko zergak,0.0,297225.64
41000,Eusko Jaurlaritzatik,23500247.08,19444895.13
42000,Arabako Foru Aldunditik,7005094.36,8390932.16
42001,FOFEL,166226932.34,166312871.22
42002,"FOFEL, likidazioa",6420976.29,7208976.29
47000,Babesleen plana,0.0,31200.0
47101,Laboral kutxa,19000.0,0.0
48000,Familietatik,50000.0,113500.0
48100,Vital Fundazioa,15000.0,0.0
49000,Europar Batasuneko erakundeetatik,50000.0,13578.57
52500,Udalaren interesak banku eta kutxetan,1000.0,51.71
53100,Udalaren partaidetza duten enpresen irabazietako partaidetza,1700000.0,900000.0
53200,Beste enpresa batzuetatik,0.0,0.0
54001,Udalaren hiri-funtsen alokairu-errentak,105000.0,66956.25
54002,Enpresa-mintegietako lokalak alokatzea,125000.0,139507.43
54003,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000.0,0.0
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,23000.0,0.0
54101,Landa-lursailak alokatzea,0.0,1428.62
55000,Emakiden emaitzak,675500.0,527956.72
55004,Aparkalekuak erabiltzeko lagapena,28000.0,19207.86
59002,Lur sailak erabiltzea,40000.0,5764.31
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",3675132.85,5122552.0
61200,Eraikinak eta bestelako eraikuntzak,4466515.33,0.0
65000,Dato-Alaba Jeneralean etxebizitzak eraikitzeko baimenak ekarritako hirigintza-gainbalioak,976694.0,0.0
65100,Hirigintza-jardueren diru-sarrerak,0.0,976964.56
70000,Estatutik,0.0,250000.0
71000,Eusko Jaurlaritzatik,25621245.03,18630655.04
72000,Arabako Foru Aldunditik,9684489.76,7564466.39
73000,"Ente publikoak, udalerrian",10000.0,0.0
77000,Enpresa pribatuak,0.0,19000.0
87000,"Diruzaintza-soberakina, gastu orokorretarako",10819536.17,0.0
87001,"Diruzaintza-soberakina, atxikitako finantzaketako gastuetarako",13287416.04,0.0
93301,Inbertsioak finantzatzeko maileguak,17050000.0,15050000.0
