#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2022,Crédito Definitivo 2022,Obligado
0116,2371,22115,,Material tecnico especifico laboratorio,100.0,100.0,0.0
0116,2371,22734,,Programa de ocio y tiempo libre,257400.0,257400.0,261791.17
0116,2371,22736,,Contrato servicios juventud,373000.0,373000.0,363575.04
0116,2371,22737,,Omij/emancipación,73000.0,143000.0,85699.1
0116,2371,22775,,Plan joven,101000.0,101000.0,94884.7
0116,2371,22776,,Gazte plaza,1.0,1.0,14520.0
0116,2371,41924,,Convenio consejo juventud euskadi-fomento participacion juvenil,10500.0,10500.0,8400.0
0116,2371,41924,R,Convenio consejo juventud euskadi-fomento participacion juvenil,0.0,2100.0,2100.0
0116,2371,48935,,Convocatoria subvenciones,30000.0,30000.0,24000.0
0116,2371,48935,R,Convocatoria subvenciones,0.0,5520.0,4736.0
0116,2371,48936,,Convocatoria de subvención para jovenes informadores,11000.0,11000.0,3600.0
0116,2371,48936,R,Convocatoria de subvención para jovenes informadores,0.0,3500.0,3500.0
0116,2371,48937,,Ayudas ingles,20000.0,20000.0,9817.08
0116,2371,62505,,Otros enseres,10000.0,10000.0,7114.93
0116,2371,62800,,Adquisicion publicaciones y libros banda de música,1000.0,1000.0,973.18
0125,9124,12000,,Retribuciones basicas de funcionarios,121307.0,121307.0,84904.43
0125,9124,12100,,Retribuciones complementarias funcionarios,185579.0,185579.0,139367.55
0125,9124,14100,,Otro personal,28267.0,28267.0,112980.27
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,87301.0,87301.0,91835.72
0125,9124,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7859.0,7859.0,5646.85
0126,9124,12000,,Retribuciones basicas de funcionarios,1.0,1.0,0.0
0130,9201,11000,,Retribuciones personal eventual gabinete,269.0,269.0,0.0
0130,9201,12000,,Retribuciones basicas de funcionarios,276980.0,276980.0,264704.33
0130,9201,12100,,Retribuciones complementarias funcionarios,442108.0,442108.0,403451.33
0130,9201,14100,,Otro personal,38057.0,38057.0,36743.6
0130,9201,16000,,Seguridad social a cargo del ayuntamiento,162636.0,162636.0,147604.42
0130,9201,16500,,Cuotas elkarkidetza a cargo ayuntamiento,14257.0,14257.0,12554.36
0130,9201,22610,,Indemnizaciones,1000.0,1000.0,0.0
0130,9201,22617,,Honorarios y minutas,30000.0,30000.0,60220.19
0130,9201,62800,,Adquisicion publicaciones y libros banda de música,15000.0,15000.0,4446.29
0145,9121,11000,,Retribuciones personal eventual gabinete,253969.0,253969.0,278080.79
0145,9121,12000,,Retribuciones basicas de funcionarios,29967.0,29967.0,34370.54
0145,9121,12100,,Retribuciones complementarias funcionarios,54642.0,54642.0,67147.41
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,63363.0,63363.0,73503.9
0145,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3914.0,3914.0,3420.76
0160,2381,12000,,Retribuciones basicas de funcionarios,140226.0,140226.0,121615.77
0160,2381,12100,,Retribuciones complementarias funcionarios,165853.0,165853.0,154426.29
0160,2381,14100,,Otro personal,38386.0,38386.0,73004.32
0160,2381,16000,,Seguridad social a cargo del ayuntamiento,117129.0,117129.0,119060.84
0160,2381,16500,,Cuotas elkarkidetza a cargo ayuntamiento,4509.0,4509.0,7313.57
0160,2381,22711,,Plan para la igualdad,65000.0,65000.0,65180.4
0160,2381,22712,,Casa-escuela empoderamiento feminista,245000.0,245000.0,247082.22
0160,2381,22712,R,Casa-escuela empoderamiento feminista,0.0,1270.9,0.0
0160,2381,22713,,Prevención y atención violencia machista,105000.0,105000.0,85135.8
0160,2381,22714,,Agenda diversidad sexual y de genero,40000.0,40000.0,39998.59
0160,2381,48120,,Convenio observatorio lgtbi,100000.0,100000.0,100000.0
0160,2381,48139,,Convocatoria de subvenciones a asoc. mujeres,120000.0,120000.0,91739.87
0160,2381,48139,R,Convocatoria de subvenciones a asoc. mujeres,0.0,19999.98,17570.54
0160,2381,62925,,Edificios igualdad,10000.0,10000.0,6020.56
0171,3351,12000,,Retribuciones basicas de funcionarios,200539.0,200539.0,209000.4
0171,3351,12100,,Retribuciones complementarias funcionarios,260416.0,260416.0,253173.29
0171,3351,14100,,Otro personal,108549.0,108549.0,164642.28
0171,3351,16000,,Seguridad social a cargo del ayuntamiento,164591.0,164591.0,183897.89
0171,3351,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8138.0,8138.0,8379.84
0171,3351,22111,,Otros enseres,1500.0,1500.0,76.01
0171,3351,22707,,Gastos varios ayto.,10000.0,10000.0,11852.14
0171,3351,22741,,Cursos de euskera para madres y padres,530000.0,530000.0,364443.3
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0,2889.15
0171,3351,22780,,Plan euskera,200000.0,200000.0,250540.2
0171,3351,22781,,Gasteiz euskararen hiria,75000.0,75000.0,74547.26
0171,3351,22799,,Traducciones externas euskera,10000.0,10000.0,4265.03
0171,3351,41803,,Convenio euskaltzaindia,50000.0,50000.0,40000.0
0171,3351,41803,R,Convenio euskaltzaindia,0.0,12600.0,12600.0
0171,3351,42302,,Convenio con la camara de comercio,7000.0,7000.0,5600.0
0171,3351,42302,A,Convenio con la camara de comercio,0.0,2100.0,1645.69
0171,3351,42302,R,Convenio con la camara de comercio,0.0,2100.0,987.91
0171,3351,48001,,Subvenciones a particulares para estudios de euskera,150000.0,150000.0,150000.0
0171,3351,48002,,Becas y bolsas de estudio al personal,30000.0,30000.0,5492.95
0171,3351,48005,,Subvencion plan general uso del euskera,193000.0,223000.0,183199.98
0171,3351,48005,A,Subvencion plan general uso del euskera,0.0,5758.87,3079.13
0171,3351,48005,R,Subvencion plan general uso del euskera,0.0,19200.02,14774.56
0171,3351,48044,,Convenio geu,77000.0,77000.0,61600.0
0171,3351,48044,R,Convenio geu,0.0,15435.0,15435.0
0171,3351,48048,R,Convenio asociacion tinko,0.0,2100.0,2100.0
0171,3351,48049,R,Convenio asociación euskharan,0.0,5000.0,5000.0
0171,3351,48064,R,Convenio korrika,0.0,800.0,800.0
0171,3351,48065,,Convenio euskaraldia,50000.0,50000.0,40000.0
0171,3351,48065,R,Convenio euskaraldia,0.0,10000.0,10000.0
0171,3351,48101,,Convenio araba euskaraz,20000.0,20000.0,16000.0
0171,3351,48101,R,Convenio araba euskaraz,0.0,4000.0,4000.0
0171,3351,48103,,Convenio lazarraga - izaskun arrue kulturgunea,500000.0,330000.0,264000.0
0171,3351,48103,R,Convenio lazarraga - izaskun arrue kulturgunea,0.0,65000.0,14577.64
0171,3351,48149,,Convenio asociación euskharan enero-junio 2025,0.0,17000.0,17000.0
0171,3351,48997,,Convenio bai euskarari,23000.0,23000.0,18400.0
0171,3351,48997,R,Convenio bai euskarari,0.0,4620.0,4620.0
0171,3351,62501,,Euskararen etxea,180000.0,180000.0,13604.82
0171,3351,62800,,Adquisicion publicaciones y libros banda de música,1000.0,1000.0,188.57
0180,3293,41902,,Convenio upv-cursos dchos.internacional,30000.0,30000.0,24000.0
0180,3293,41902,R,Convenio upv-cursos dchos.internacional,0.0,6000.0,6000.0
0180,9271,12000,,Retribuciones basicas de funcionarios,173528.0,173528.0,150469.11
0180,9271,12100,,Retribuciones complementarias funcionarios,205645.0,205645.0,188038.27
0180,9271,14100,,Otro personal,515.0,515.0,40072.84
0180,9271,16000,,Seguridad social a cargo del ayuntamiento,111285.0,111285.0,107721.49
0180,9271,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7633.0,7633.0,8016.23
0180,9271,22299,,"Eu-plan de gobernanza y comunicación ""los herrán""",0.0,30000.0,29987.43
0180,9271,22603,,Publicaciones y publicidad,549999.0,549999.0,678170.49
0180,9271,22603,R,Publicaciones y publicidad,0.0,1242.17,1222.1
0180,9271,22612,,Adquisicion prensa diaria,20000.0,20000.0,17648.36
0180,9271,22616,,Servicios de asistencia tecnica a prensa,35000.0,35000.0,37162.69
0180,9271,22628,,Comunicación audiovisual,20000.0,20000.0,11374.0
0180,9271,22631,,Participacion municipal en otras instituciones,28000.0,28000.0,31521.56
0180,9271,22632,,Suscripciones,500.0,500.0,2860.0
0180,9271,22634,,Organizacion de eventos  y gastos de representación,105000.0,105000.0,133302.88
0180,9271,22634,R,Organizacion de eventos  y gastos de representación,0.0,1531.86,0.0
0180,9271,22645,,Anuncios oficiales por ley,170000.0,170000.0,0.0
0180,9271,22730,,Servicio almacenaje fondos editoriales,7000.0,7000.0,2583.23
0180,9271,22732,,Contrato prestación de servicios video-actas,30000.0,30000.0,7910.92
0180,9271,22732,A,Contrato prestación de servicios video-actas,0.0,3793.36,0.0
0180,9271,22732,R,Contrato prestación de servicios video-actas,0.0,8108.26,0.0
0180,9271,22799,,Servicios de traducción,40000.0,40000.0,38816.99
0180,9271,62505,,Otros enseres,8000.0,8000.0,425.24
0181,2327,12000,,Retribuciones basicas de funcionarios,48526.0,48526.0,39659.74
0181,2327,12100,,Retribuciones complementarias funcionarios,63377.0,63377.0,45462.55
0181,2327,14100,,Otro personal,64283.0,64283.0,86420.95
0181,2327,16000,,Seguridad social a cargo del ayuntamiento,58420.0,58420.0,51288.3
0181,2327,16500,,Cuotas elkarkidetza a cargo ayuntamiento,200.0,200.0,0.0
0181,2361,22604,,Estrategia antirumor,45000.0,45000.0,28304.93
0181,2361,22608,,Programa de (in)formación,33000.0,33000.0,39362.47
0181,2361,22610,,Ciudad educadora,26615.0,26615.0,25726.5
0181,2361,22613,,Traduccion e interpretacion,45445.0,45445.0,58397.27
0181,2361,22614,,Preparación actos 50 aniversario 3 de marzo,50000.0,50000.0,40626.0
0181,2361,22621,,Servicio de acogida,0.0,100000.0,22597.36
0181,2361,22642,,Plan de convivencia y diversidad,130000.0,130000.0,93688.39
0181,2361,22642,R,Plan de convivencia y diversidad,0.0,61350.31,61350.29
0181,2361,22643,,Puesta en marcha acciones convivencia en barrios,60000.0,0.0,0.0
0181,2361,41910,,Conv. red vasca antirrumores,5000.0,5000.0,4000.0
0181,2361,41910,R,Conv. red vasca antirrumores,0.0,1000.0,1000.0
0181,2361,48128,,Convenio arabako gorrak,22000.0,22000.0,17600.0
0181,2361,48128,R,Convenio arabako gorrak,0.0,4400.0,4400.0
0181,2361,48901,,Convocatoria general de subvenciones,80000.0,80000.0,51471.85
0181,2361,48901,R,Convocatoria general de subvenciones,0.0,12000.0,11294.72
0181,2361,48970,,Conv.asoc.eginaren eginez,30000.0,30000.0,24000.0
0181,2361,48970,R,Conv.asoc.eginaren eginez,0.0,6000.0,6000.0
0181,2361,48983,,Convenio goian,120000.0,180000.0,144000.0
0181,2361,48983,R,Convenio goian,0.0,22800.0,22800.0
0181,2361,48986,,Fundación memorial 3 de marzo,25000.0,25000.0,0.0
0209,1701,12000,,Retribuciones basicas de funcionarios,34965.0,34965.0,29332.24
0209,1701,12100,,Retribuciones complementarias funcionarios,59731.0,59731.0,45789.25
0209,1701,16000,,Seguridad social a cargo del ayuntamiento,15803.0,15803.0,14464.39
0209,1701,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1712.0,1712.0,1588.21
0210,1502,12000,,Retribuciones basicas de funcionarios,30691.0,30691.0,32046.84
0210,1502,12100,,Retribuciones complementarias funcionarios,49700.0,49700.0,63198.12
0210,1502,14100,,Otro personal,0.0,0.0,23892.47
0210,1502,16000,,Seguridad social a cargo del ayuntamiento,12106.0,12106.0,24794.3
0210,1502,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1345.0,1345.0,1832.55
0210,1502,22004,,Edicion y reproduccion de cartografia y proyectos,2000.0,2000.0,0.0
0210,1502,22111,,Menaje,2000.0,2000.0,1697.37
0210,1502,22205,,"Reuniones,conferencias y congresos",15000.0,55000.0,42627.39
0210,1502,22637,,Haciendo misión,0.0,0.0,4840.0
0210,1502,22707,,Asistencias técnicas,4000.0,15797.5,1433.25
0210,1502,23901,,Indemnizaciones jurados expropiacion,1000.0,1000.0,0.0
0210,1502,62633,,Aplicación nuevas tecnologías,60000.0,60000.0,0.0
0211,1511,12000,,Retribuciones basicas de funcionarios,345672.0,345672.0,348464.99
0211,1511,12100,,Retribuciones complementarias funcionarios,430350.0,430350.0,455133.59
0211,1511,14100,,Otro personal,107677.0,206002.52,235361.84
0211,1511,16000,,Seguridad social a cargo del ayuntamiento,261381.0,261381.0,306110.31
0211,1511,16500,,Cuotas elkarkidetza a cargo ayuntamiento,17013.0,17013.0,17117.05
0211,1511,60001,,Expropiaciones y adquisicion de suelo,50000.0,50000.0,0.0
0211,1511,60926,,Regularización convenio obispado aparcamiento catedral,100000.0,5200.0,0.0
0211,1511,61405,,Revisión del catálogo ciudad,37500.0,37500.0,3267.0
0211,1511,61407,,Analisis patrimonio municipal protegido,50000.0,50000.0,0.0
0211,1511,64202,,Actualizaciones cartográficas,18000.0,18000.0,10051.46
0211,1511,64202,R,Actualizaciones cartográficas,0.0,19330.0,19330.0
0211,1511,64203,,Honorarios,50000.0,68148.79,38686.73
0211,1511,64203,R,Honorarios,0.0,38629.0,38629.0
0211,1511,64206,,Revision pgou,144000.0,144000.0,6050.0
0211,1511,64206,R,Revision pgou,0.0,54413.7,54413.7
0211,1511,64208,,Revisión plan especial casco histórico,62500.0,62500.0,0.0
0211,1511,64208,R,Revisión plan especial casco histórico,0.0,52500.01,33749.32
0211,1511,64212,,Previsión cuotas urbanización,10000.0,10000.0,0.0
0211,1511,64334,,Honorarios notarios registro regularización propiedades,21000.0,21000.0,550.89
0211,1521,64220,,Plan de acción zonas tensionadas,50000.0,14660.08,0.0
0213,1512,12000,,Retribuciones basicas de funcionarios,206594.0,480934.27,605660.83
0213,1512,12100,,Retribuciones complementarias funcionarios,270612.0,707375.84,769218.36
0213,1512,14100,,Otro personal,76457.0,307331.95,357832.64
0213,1512,16000,,Seguridad social a cargo del ayuntamiento,145988.0,460616.45,503441.27
0213,1512,16500,,Cuotas elkarkidetza a cargo ayuntamiento,10496.0,10496.0,26314.27
0213,1512,22620,,Obras subsidiarias y apuntalamiento,150000.0,138202.5,52598.52
0213,1512,22747,,Inspecc técnica edificios intervencion edif casco histórico,40000.0,40000.0,1346.37
0213,1512,22747,A,Inspecc técnica edificios intervencion edif casco histórico,0.0,2586.37,0.0
0214,1502,62630,,Licencias software,1000.0,1000.0,151.19
0214,1502,62901,,Adquisicion equipos,5000.0,4323.45,637.79
0214,1502,64201,,Estudios y proyectos,18000.0,18000.0,9569.34
0214,1515,62213,,Piie-centro de atención diurna zaramaga,0.0,109029.97,107822.63
0214,1515,62213,R,Piie-centro de atención diurna zaramaga,0.0,1334142.95,1334142.95
0214,9210,60205,,Eu-rehabilitación palacio maturana-verástegui,600000.0,600000.0,596468.85
0214,9210,60205,A,Eu-rehabilitación palacio maturana-verástegui,0.0,1104015.02,889702.19
0214,9210,60205,R,Eu-rehabilitación palacio maturana-verástegui,0.0,370970.9,267701.63
0214,9211,12000,,Retribuciones basicas de funcionarios,195366.0,195366.0,219818.82
0214,9211,12100,,Retribuciones complementarias funcionarios,249769.0,249769.0,263416.05
0214,9211,14100,,Otro personal,36749.0,36749.0,136.43
0214,9211,16000,,Seguridad social a cargo del ayuntamiento,140586.0,140586.0,137338.9
0214,9211,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6345.0,6345.0,9255.52
0214,9211,60507,,Aramangelu - abetxuko,40000.0,40000.0,0.0
0214,9211,62215,,Inversiones en patrimonio municipal,100000.0,460000.0,24633.68
0214,9211,62215,A,Inversiones en patrimonio municipal,0.0,157817.77,111585.79
0214,9211,62215,R,Inversiones en patrimonio municipal,0.0,10151.3,10151.3
0214,9211,62226,,Rehabilitación viviendas municipales,100000.0,100000.0,9231.88
0214,9211,62226,A,Rehabilitación viviendas municipales,0.0,105421.24,105421.24
0214,9211,62226,R,Rehabilitación viviendas municipales,0.0,239.68,239.68
0214,9211,62296,,Inversiones en instalaicones deportivas,200000.0,200000.0,0.0
0214,9211,62297,,Rehabilitacion edificios mples. directiva 2012/2017 ue,2584585.01,2584585.01,787740.4
0214,9211,62297,R,Rehabilitacion edificios mples. directiva 2012/2017 ue,0.0,181661.44,0.0
0214,9211,62298,,Inversines deportivas campos de futbol,463428.0,651837.83,0.0
0214,9211,64326,A,Plan de reactivacion del centro urbano,0.0,88842.57,45528.72
0214,9211,64516,A, gasteiz antzokia,0.0,16878.94,0.0
0214,9212,62290,,Reforma teatro principal,1161448.83,1795790.05,1712666.66
0214,9212,62290,A,Reforma teatro principal,0.0,357837.15,129765.13
0214,9212,62290,R,Reforma teatro principal,0.0,0.0,0.0
0214,9219,62315,,Eu alrm div func. aud pstd fii,0.0,241867.5,25235.94
0216,1502,12000,,Retribuciones basicas de funcionarios,237089.0,237089.0,191999.45
0216,1502,12100,,Retribuciones complementarias funcionarios,343458.0,343458.0,282749.2
0216,1502,14100,,Otro personal,45754.0,144654.34,170897.98
0216,1502,16000,,Seguridad social a cargo del ayuntamiento,172119.0,172119.0,185288.85
0216,1502,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8031.0,8031.0,10608.68
022201,1691,12000,,Retribuciones basicas de funcionarios,170576.0,170576.0,172274.54
022201,1691,12100,,Retribuciones complementarias funcionarios,231894.0,231894.0,230088.87
022201,1691,14100,,Otro personal,167569.0,167569.0,127414.17
022201,1691,16000,,Seguridad social a cargo del ayuntamiento,180111.0,180111.0,164491.43
022201,1691,16500,,Cuotas elkarkidetza a cargo ayuntamiento,9521.0,9521.0,12145.4
022201,1721,60305,,Instalaciones del vertedero gardelegui,100000.0,100000.0,9493.71
022201,1721,60305,A,Instalaciones del vertedero gardelegui,0.0,77199.37,0.0
022201,1722,62916,,Calidad ambiental del vertedero,75000.0,170831.0,43074.38
022202,1722,22600,,Urbanew 1,0.0,72468.0,16277.73
022202,1722,22600,A,Urban new gastos diversos,0.0,19834.94,19834.94
022202,1722,22626,,Urbanew 2,0.0,116370.0,2292.64
022203,1621,22700,,"Contrato serv limpieza, recogida y transporte rsu",10010927.61,10471493.44,10454111.36
022203,1621,22700,R,"Contrato serv limpieza, recogida y transporte rsu",0.0,12895.32,12895.32
022203,1621,22703,,Contrato recogida neumatica en casco medieval,1493685.72,1493685.72,1674134.75
022203,1621,22704,,Suministro eléctrico recogida neumática,400000.0,506000.0,440920.17
022203,1621,22704,R,Suministro eléctrico recogida neumática,0.0,65043.84,65043.84
022203,1621,22715,,Recogida selectiva de residuos,517242.3,517242.3,491581.67
022203,1621,22724,,Contrato de explotación de garbigunes,511138.0,511138.0,511138.19
022203,1622,21204,,Mantenimiento de las instalaciones del vertedero,210156.96,426747.96,456521.7
022203,1622,22699,,Otros gastos diversos,80000.0,55000.0,15059.67
022203,1622,22700,,Campañas de comunicación limpieza y rsu,0.0,0.0,0.0
022203,1622,22707,,Actuaciones conservacion biodiversidad,58500.0,58500.0,57492.57
022203,1622,22723,,Contrato explotacion del vertedero,1393839.12,1393839.12,1393839.12
022203,1623,22111,,Menaje,5000.0,5000.0,11329.84
022203,1623,22702,,Contrato explotación planta rsu jundiz,10526482.1,11293842.07,9696425.53
022203,1623,22710,,Contrato recogida voluminosos,1562302.7,1562302.7,1562303.16
022203,1623,47133,,Convenio fundación vital plasticos 0,50000.0,50000.0,50000.0
022203,1623,60907,,"Control de calidad agua, aire y suelo",72000.0,72000.0,12287.55
022203,1623,60907,R,"Control de calidad agua, aire y suelo",0.0,5559.95,5559.95
022203,1631,22700,,Contrato servicio de limpieza viaria,15020203.08,15779502.68,15802048.58
022203,1631,22701,,Plan antigrafitis,97100.0,97100.0,119614.14
022203,1722,12000,,Retribuciones basicas de funcionarios,173218.0,173218.0,214645.53
022203,1722,12100,,Retribuciones complementarias funcionarios,237383.0,237383.0,291138.79
022203,1722,14100,,Otro personal,203333.0,203333.0,208903.35
022203,1722,16000,,Seguridad social a cargo del ayuntamiento,198284.0,198284.0,207472.21
022203,1722,16500,,Cuotas elkarkidetza a cargo ayuntamiento,10893.0,10893.0,11047.44
022204,1711,12000,,Retribuciones basicas de funcionarios,70905.0,70905.0,69060.07
022204,1711,12100,,Retribuciones complementarias funcionarios,91641.0,91641.0,86334.55
022204,1711,13000,,Retribuciones personal laboral fijo,102809.0,102809.0,102868.33
022204,1711,14100,,Otro personal,17997.0,17997.0,50145.45
022204,1711,16000,,Seguridad social a cargo del ayuntamiento,83893.0,83893.0,90765.63
022204,1711,16500,,Cuotas elkarkidetza a cargo ayuntamiento,4509.0,4509.0,4503.66
022204,1711,21073,,Conservacion arboreto,146250.0,163850.0,27056.36
022204,1711,21074,,Trabajos de conservacion anillo verde exterior,559464.0,519464.0,392776.19
022204,1711,21074,R,Trabajos de conservacion anillo verde exterior,0.0,38577.17,21644.55
022204,1711,22663,,Canon demanial arkaute-elorriaga,72000.0,72000.0,67182.6
022204,1711,22699,,Estrategia de economía circular,25000.0,25000.0,0.0
022204,1711,48197,,Convenio upv proyecto unicities 2030,0.0,10000.0,8000.0
022204,1711,60916,,Agenda local (urbana) 2030,50000.0,50000.0,0.0
022204,1711,60916,R,Agenda local (urbana) 2030,0.0,17182.0,17182.0
022204,1711,62219,A,Instalaciones placas solares fotovoltaicas,0.0,501066.92,501066.92
022204,1711,64305,,Plan de acción clima energía sostenible,20000.0,20000.0,2420.0
022204,1711,64305,R,Plan de acción clima energía sostenible,0.0,48400.0,48400.0
022204,1711,64306,,Instalación placas fotovoltaicas (garantia total),200000.0,104169.0,22398.92
022204,1711,64306,A,Instalación placas fotovoltaicas (garantia total),0.0,238401.46,238401.46
022204,1711,64319,,Red de control campos electromagnéticos,10000.0,10000.0,0.0
022204,1711,64319,R,Red de control campos electromagnéticos,0.0,4089.8,0.0
022204,1711,64321,,Plan de energías renovables,10000.0,10000.0,1725.0
022204,1711,64321,A,Plan de energías renovables,0.0,45984.68,0.0
022204,1711,64321,R,Plan de energías renovables,0.0,18089.5,0.0
022204,1711,64336,,Inversiones transición energética,10000.0,10000.0,1936.0
022204,1711,64336,A,Inversiones transición energética,0.0,71995.0,71995.0
022204,1711,64336,R,Inversiones transición energética,0.0,14207.82,14207.82
022204,1711,64337,,Misiones climáticas,20000.0,20000.0,435.6
022204,1711,64338,,Plan de sensibilización ambiental (konpondu),10000.0,10000.0,0.0
022204,1711,78004,,Subv. plan aislamiento acustico zpae,100000.0,100000.0,2742.5
022204,1711,78004,R,Subv. plan aislamiento acustico zpae,0.0,100000.0,4522.0
022204,1722,48067,,Subvención comunidades energéticas,10000.0,10000.0,0.0
022204,1722,48067,R,Subvención comunidades energéticas,0.0,5414.0,4733.6
022204,1722,78005,,Subvención comunidades energéticas,600000.0,600000.0,0.0
022204,1722,78005,R,Subvención comunidades energéticas,0.0,449938.34,361854.95
022301,1623,60711,,Adecuacion vertedero real decreto 14/81/2001,200000.0,200000.0,11175.12
022301,1623,60711,A,Adecuacion vertedero real decreto 14/81/2001,0.0,13392.53,0.0
022301,1623,60711,R,Adecuacion vertedero real decreto 14/81/2001,0.0,81679.84,77660.7
022301,1691,12000,,Retribuciones basicas de funcionarios,59614.0,59614.0,72858.47
022301,1691,12100,,Retribuciones complementarias funcionarios,80042.0,80042.0,87110.14
022301,1691,14100,,Otro personal,0.0,0.0,3454.49
022301,1691,16000,,Seguridad social a cargo del ayuntamiento,32952.0,32952.0,52379.39
022301,1691,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3425.0,3425.0,5183.91
022301,1691,21040,,Mantenimiento de equipos y control y diagnóstico,167627.95,117627.95,116106.32
022301,1691,21040,R,Mantenimiento de equipos y control y diagnóstico,0.0,37106.36,37106.36
022301,1691,22175,,Contrato garantía total instalaciones fotovoltaicas municipales,90000.0,20000.0,821.45
022301,1691,22605,,Acciones de sostenibilidad y energia,14750.0,14750.0,6942.6
022301,1691,22611,,Proyecto oficina del cambio 2030,0.0,108750.0,4682.7
022301,1691,22615,,Gastos corrientes clms cities,0.0,110000.0,788.93
022301,1691,22732,,Eu-transición energética comunitaria,150000.0,258259.89,258259.89
022301,1691,48196,,Convenio gaia,0.0,10000.0,10000.0
022301,1691,60500,,Inversiones clms cities,0.0,92000.0,0.0
022301,1691,64402,,Proyecto oficina del cambio 2030 gastos de capital,0.0,87120.0,0.0
022301,1721,64316,,Plan de acción del mapa estratégico de ruidos,10000.0,10000.0,0.0
022301,1721,64329,,Plan sensibilizacion ruidos casco medieval,15000.0,15000.0,0.0
022301,1721,64330,,Red de control del ruido,6000.0,6000.0,1097.43
022301,1721,64330,R,Red de control del ruido,0.0,5355.46,5355.46
022301,1722,60182,,Proyecto arboles,10000.0,10000.0,12077.94
022301,1722,60182,R,Proyecto arboles,0.0,220.59,0.0
022301,1722,60183,,Actuaciones de conservación de biodiversidad,200000.0,200000.0,12546.34
