#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2022,Crédito Definitivo 2022,Obligado
0110,9121,11000,,Retribuciones personal eventual gabinete,1347129.29,1347129.29,1377496.8
0110,9121,12000,,Retribuciones basicas de funcionarios,147014.0,147014.0,137052.93
0110,9121,12100,,Retribuciones complementarias funcionarios,201133.0,201133.0,191056.17
0110,9121,14100,,Otro personal,4740.0,4740.0,22705.11
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,533512.0,533512.0,535477.53
0110,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7270.0,7270.0,10049.11
0110,9123,22695,,Otros gastos diversos oficina sindica,900.0,900.0,1356.2
0110,9123,22699,,Otros gastos diversos,2000.0,2000.0,1037.9
0111,1341,62705,A,Eu ciudades conectadas,0.0,751379.75,416454.74
0111,2328,11000,,Retribuciones personal eventual gabinete,97309.0,97309.0,0.0
0111,2328,12000,,Retribuciones basicas de funcionarios,96547.0,96547.0,18853.63
0111,2328,12100,,Retribuciones complementarias funcionarios,107396.0,107396.0,30108.47
0111,2328,14100,,Otro personal,0.0,0.0,5487.66
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,74284.0,74284.0,15519.35
0111,2328,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5137.0,5137.0,1146.04
0111,3341,22704,,Patrocinio umbra light festival,95000.0,0.0,0.0
0111,3341,22705,,Patrocinio umbra light festival,0.0,95000.0,0.0
0111,3411,22704,,Patrocinio ironman vitoria-gasteiz,125000.0,125000.0,125000.0
0111,3411,22705,,Patrocinio umbra light festival,0.0,0.0,95000.0
0111,4332,22705,,Patrocinio vitoria-gasteiz trail,15000.0,15000.0,14999.99
0111,4332,22707,,Estudios y trabajos técnicos,100000.0,100000.0,2402.93
0111,4332,22725,,Otros gastos diversos casa consistorial,10000.0,10000.0,543.99
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,360000.0,360000.0,276996.64
0111,4332,41401,,Convenios promoción ciudad,100000.0,58000.0,0.0
0111,4332,48160,,Convenio green deal,10000.0,10000.0,0.0
0111,4332,62505,,Otros enseres casa consistorial,10000.0,10000.0,0.0
0111,9204,22725,,Oficina del dato,90000.0,90000.0,40100.97
0111,9204,22725,R,Oficina del dato,0.0,19965.0,19954.35
0112,2301,12000,,Retribuciones basicas de funcionarios,151681.0,151681.0,143913.79
0112,2301,12100,,Retribuciones complementarias funcionarios,179325.0,179325.0,196605.74
0112,2301,14100,,Otro personal,188778.0,188778.0,211313.78
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,176859.0,176859.0,167256.74
0112,2301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,10478.0,10478.0,11082.48
0116,2371,12000,,Retribuciones basicas de funcionarios,176833.0,176833.0,174320.73
0116,2371,12100,,Retribuciones complementarias funcionarios,215373.0,215373.0,212182.39
0116,2371,14100,,Otro personal,44013.0,44013.0,60080.27
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,124855.0,124855.0,135681.48
0116,2371,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6876.0,6876.0,6413.56
