#Económico,Denominacion Aplicacion Ingresos,C.DEFINITVO,DRN NETOS
11201,Impuesto b.inmuebles naturaleza rustica,306000.0,304655.66
11202,Impuesto b.inmuebles naturaleza urbana,47100000.0,47917368.58
11203,Impuesto caracteristicasespeciales,515000.0,485792.65
11301,Impuesto sobre vehiculos traccion mecanica,16225000.0,15635288.38
11401,Impuesto sobre incremento valor terrenos,15150000.0,14080947.26
13001,Impuesto sobre actividades economicas,15850000.0,16015019.35
13002,Participacion en cuotas provinciales y estatales,1400000.0,1300000.0
28201,Impuestos sobre construcciones e instalaciones,13600000.0,11318030.95
28301,Aprovechamiento del coto de caza,2500.0,2200.0
30001,Venta de efectos no utilizables,10000.0,3971.2
30002,Venta de publicaciones e impresos,5000.0,1189.03
30004,Venta de bienes y efectos en montehermoso,5000.0,0.0
30006,Venta de energia electrica,20000.0,0.0
30007,Venta de bienes y efectos oficina de turismo,40000.0,115922.03
31001,Recogida y eliminacion de basuras,21000000.0,19429666.5
31003,Servicios funerarios,650000.0,634695.2
31004,"Expedición de informes, atestados, fotocopias, planos y similares",200000.0,93544.18
31005,Retirada de vehículos de la vía pública,560000.0,350432.23
31008,Servicio de prevención y extinción de incendios,10000.0,2281.57
31013,Vertido de residuos en vertedero de gardelegi,4400000.0,4348766.99
31020,Evacuación de consultas urbanísticas,8500.0,6226.79
31021,Vertido de aguas residuales no domesticas,100000.0,159930.93
31022,Duplicado tmc,13500.0,14588.07
31026,Prestación servicios salud publica,62500.0,53895.53
31027,Tasas de exámenes,67600.0,191904.78
31028,Planta biocompost,3200000.0,3000594.19
31029,Recogida selectiva de envases y residuos,2000000.0,3149937.2
31101,Licencias de apertura de establecimientos,345000.0,347760.16
31105,Ota,0.0,654.35
31201,Otorgamiento de licencias urbanísticas,645000.0,446233.06
32001,Ota - estacionamiento de vehículos en vías publicas,2400000.0,3135790.93
32005,Cesiones de terrenos cementerio el salvador,190000.0,112407.39
32102,Quioscos en vía pública,3120.0,2851.8
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",730000.0,1435643.76
32104,Veladores en vía pública,520000.0,534740.41
32105,Instalaciones en vía publica,600000.0,587994.45
32107,Apertura de calicatas y zanjas,52000.0,25215.45
32109,"Ocupación del suelo, subsuelo y vuelo",250000.0,95173.98
32110,"Ocupación suelo, subsuelo, vuelo empr explotadora suministros",5600000.0,3970140.26
32111,"Utilización del palacio de congresos, principal, pza toros...",225000.0,227331.57
32112,Utilización de salas en centros cívicos,62500.0,44538.48
32113,Uso salas en centro empresas jundiz,10250.0,12394.51
32114,Uso espacios en cscm,2500.0,2884.97
32115,Transporte de energia,150000.0,0.0
32201,Entrada de vehículos por las aceras y reservas de la vía publica para aparcamien,1700000.0,1685460.31
34001,Talleres salud publica,16000.0,19971.84
34002,"Escuelas infantiles,colonias abiertas y rincones de juego",200000.0,71915.56
34004,Asistencia a domicilio personas mayores,4766049.72,4766125.6
34005,Estancias residencias personas mayores,3325000.0,3415898.18
34006,Talleres de intervencion social,72800.0,90126.53
34007,Formacion ocupacional,25000.0,25490.32
34008,Abono instalaciones mendizorrotza,6400000.0,6467062.66
34009,Abonos temporales y de temporada (gamarra),145600.0,148646.25
34010,Utilizacion instalaciones deportivas (reserva y venta),1400000.0,1110733.59
34012,Matriculas en la academia mpal. de folklore,85000.0,87530.39
34013,Cursos y talleres de cultura,395000.0,441785.51
34014,Taquillas  teatro,450000.0,59226.77
34015,Prestacion de servicios de ludotecas,50000.0,52112.91
34016,Prestamos de material audiovisual e luminacion de juventud,7250.0,7577.59
34018,Talleres de presidencia,234000.0,257246.81
34020,Abonados a campañas deportivas,1150000.0,1543906.1
34023,Estancia en el c.a.m.a.s.,50000.0,3661.0
34024,Estancias en pisos tutelados,4000.0,52407.04
34025, comidas centro socioculturales de mayores,2730.0,4950.65
34026,Liquidacion estancias en residencias 3ª edad,125000.0,159897.23
34029,Cursos y actividades formativas,5000.0,0.0
34032,Venta de entradas presidencia,5000.0,5290.5
34038,Servicio de bodas,20800.0,26357.87
34039,Compensacion gastos de gestion,780000.0,2.89
34040,Ingresos estación de autobuses,730000.0,996136.1
34041,Uso de parcelas en huertos urbanos,10500.0,10143.5
34043,Ingresos aparcamientos de bicicletas seguros,22000.0,42383.49
36100,Extinción incendios - cuota unespa y cias no conveniadas,1205000.0,1387982.15
38001,Reintegro por pagos,1061478.96,1598444.12
38002,Reintegros gastos por publicaciones en anuncios,30000.0,144452.83
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,80001.0,75609.07
38004,Reintegros por costas de la via de apremio,8000.0,350.34
38005,Reintegro indemnizaciones via judicial,1000.0,125098.51
38008,Reintegro explotaciones de servicios,118000.0,116475.92
39101,Multas por infracciones de trafico,5700000.0,5223319.61
39102,Ingresos por procedimientos sancionadores,1500000.0,1209059.32
39103,Sanciones por incumplimientos contracuales,0.0,64275.13
39201,Recargos de apremio,950000.0,903907.8
39300,Intereses de demora,0.0,1411591.84
39401,Daños en via publica por accidentes de vehiculos,60000.0,21872.93
39402,Daños en bienes mpales.por actos vandalicos,15000.0,434.55
39403,Actuaciones del seis por limpieza de calzadas por accid,5000.0,722.51
39404,Ingresos ejecuciones subsidiarias,20000.0,0.0
39405,Ingresos derivados de costas judiciales,25000.0,4594.34
39601,Ingresos  empresas de telefonia,800000.0,710351.21
39901,Donativos,0.0,1128.18
39902,Otros ingresos diversos,250000.0,157950.19
39903,Intereses demora ejercicios anteriores,1000.0,-11.35
39906,Donativos belen de la florida,1.0,14481.55
39907,Ingresos rifa san anton,1.0,15837.2
39909,Participacion ingresos aparcamientos,20000.0,4950.81
40000,De la admon. general,2697476.74,2644955.93
40001,Impuestos no concertados,288433.2,540284.74
41000,Del gobierno vasco,22751319.04,19327395.44
42000,De la diputacion foral de alava,7125236.21,6277316.0
42001,Fofel,220458194.22,228144138.94
42002,Liquidacion fofel,0.0,-7652638.71
43000,Entes publicos dentro termino mpal,8610.35,0.0
47000,De empresas participadas,7500.0,4500.0
48000,De familias,55000.0,148000.0
48001,Fundación vital - convenio hazia inserción laboral de jóvenes,60000.0,0.0
49000,De entes de la union europea,382838.0,773421.59
49001,Proyectos formación para el empleo promovidos eell,250595.64,0.0
52500,Intereses en cajas y bancos ayuntamiento,1647040.31,1131537.1
54001,Rentas arrendamientos fincas urbanas ayto,125000.0,49727.69
54002,Arrendamiento locales semillero de empresas,130000.0,121538.3
54004,Servicio hostelería en inmuebles municipales,25000.0,31088.02
54101,Arrendamiento de terrenos rusticos,0.0,64.82
55000,Productos de concesiones,1200000.0,1342346.5
55004,Cesion de uso plazas aparcamiento,30000.0,39348.28
59002,Utilizacion de terrenos,20000.0,-42844.63
60300,Venta de terrenos pms (incluidos honorarios de proy basicos),12868618.86,1883572.37
61200,De edificios y otras construcciones,1180000.0,698713.14
65100,Cesiones obligatorias aprovechamientos,0.0,369096.89
70000,Del estado,0.0,-287175.29
71000,Del gobierno vasco,8965520.29,9122805.97
72000,De la diputacion foral de alava,2903879.74,3207806.06
73000,Entes publicos dentro termino municipal,40000.0,39964.5
77000,Empresas privadas,417407.54,417407.54
79000,Entes publicos union europea,406389.1,92000.0
87001,Rtgg,25996398.18,0.0
87002,Rtgfa,32173929.12,0.0
93301,Prestamos para la financiacion de inversiones,14085796.6,14085796.6
