#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2025ko Hasierako kreditua,2025ko Behin-betiko kreditua,Obligado
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",63363.0,63363.0,73503.9
0145,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3914.0,3914.0,3420.76
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,140226.0,140226.0,121615.77
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,165853.0,165853.0,154426.29
0160,2381,14100,,Bestelako langileak,38386.0,38386.0,73004.32
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",117129.0,117129.0,119060.84
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4509.0,4509.0,7313.57
0160,2381,22711,,Berdintasun Plana,65000.0,65000.0,65180.4
0160,2381,22712,,Jabetze feministarako eskola,245000.0,245000.0,247082.22
0160,2381,22712,R,Jabetze feministarako eskola,0.0,1270.9,0.0
0160,2381,22713,,Indarkeria matxistaren prebentzioa eta arreta,105000.0,105000.0,85135.8
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,40000.0,40000.0,39998.59
0160,2381,48120,,Hitzarmena: LGTBI behatokia,100000.0,100000.0,100000.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,120000.0,120000.0,91739.87
0160,2381,48139,R,Emakume elkarteentzako diru-laguntza deialdia,0.0,19999.98,17570.54
0160,2381,62925,,Emakume elkarteentzako diru-laguntza deialdia,10000.0,10000.0,6020.56
0171,3351,12000,,Berdintasun eraikinak,200539.0,200539.0,209000.4
0171,3351,12100,,Funtzionarioen oinarrizko ordainsariak,260416.0,260416.0,253173.29
0171,3351,14100,,Bestelako langileak,108549.0,108549.0,164642.28
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",164591.0,164591.0,183897.89
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8138.0,8138.0,8379.84
0171,3351,22111,,Tresnak eta lanabesak,1500.0,1500.0,76.01
0171,3351,22707,,Udaleko hainbat gastuak,10000.0,10000.0,11852.14
0171,3351,22741,,Gurasoentzako euskara eskolak,530000.0,530000.0,364443.3
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0,2889.15
0171,3351,22780,,Euskara plana,200000.0,200000.0,250540.2
0171,3351,22781,,Gasteiz euskararen hiria,75000.0,75000.0,74547.26
0171,3351,22799,,"Kanpoko itzulpenak, euskera",10000.0,10000.0,4265.03
0171,3351,41803,,Hitzarmena: Euskaltzaindia,50000.0,50000.0,40000.0
0171,3351,41803,R,Hitzarmena: Euskaltzaindia,0.0,12600.0,12600.0
0171,3351,42302,,Hitzarmena: merkataritza-ganbera,7000.0,7000.0,5600.0
0171,3351,42302,A,Hitzarmena: merkataritza-ganbera,0.0,2100.0,1645.69
0171,3351,42302,R,Hitzarmena: merkataritza-ganbera,0.0,2100.0,987.91
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,150000.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,30000.0,30000.0,5492.95
0171,3351,48005,,Euskararen Plan Nagusiko dirulaguntzak,193000.0,223000.0,183199.98
0171,3351,48005,A,Euskararen Plan Nagusiko dirulaguntzak,0.0,5758.87,3079.13
0171,3351,48005,R,Subvencion plan general uso del euskera,0.0,19200.02,14774.56
0171,3351,48044,,Hitzarmena GEUrekin,77000.0,77000.0,61600.0
0171,3351,48044,R,Hitzarmena GEUrekin,0.0,15435.0,15435.0
0171,3351,48048,R,Hitzarmena Tinko elkartearekin,0.0,2100.0,2100.0
0171,3351,48049,R,Hitzarmena Euskharan elkartearekin,0.0,5000.0,5000.0
0171,3351,48064,R,Hitzarmena: Korrika,0.0,800.0,800.0
0171,3351,48065,,Hitzarmena: Euskaraldia,50000.0,50000.0,40000.0
0171,3351,48065,R,Hitzarmena: Euskaraldia,0.0,10000.0,10000.0
0171,3351,48101,,Hitzarmena: Araba Euskaraz,20000.0,20000.0,16000.0
0171,3351,48101,R,Hitzarmena: Araba Euskaraz,0.0,4000.0,4000.0
0171,3351,48103,,Hitzarmena: Lazarraga - Izaskun arrue kulturgunea,500000.0,330000.0,264000.0
0171,3351,48103,R,Hitzarmena: Lazarraga - Izaskun arrue kulturgunea,0.0,65000.0,14577.64
0171,3351,48149,,Convenio asociación euskharan enero-junio 2025,0.0,17000.0,17000.0
0171,3351,48997,,Hitzarmena: Bai Euskarari,23000.0,23000.0,18400.0
0171,3351,48997,R,Hitzarmena: Bai Euskarari,0.0,4620.0,4620.0
0171,3351,62501,,Euskararen etxea,180000.0,180000.0,13604.82
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0,1000.0,188.57
0180,3293,41902,,EHUrekiko hitzarmena: nazioarteko zuzenbide ikastaroak,30000.0,30000.0,24000.0
0180,3293,41902,R,EHUrekiko hitzarmena: nazioarteko zuzenbide ikastaroak,0.0,6000.0,6000.0
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,173528.0,173528.0,150469.11
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,205645.0,205645.0,188038.27
0180,9271,14100,,Bestelako langileak,515.0,515.0,40072.84
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",111285.0,111285.0,107721.49
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7633.0,7633.0,8016.23
0180,9271,22299,,"Eu-plan de gobernanza y comunicación ""los herrán""",0.0,30000.0,29987.43
0180,9271,22603,,Argitalpenak eta publizitatea,549999.0,549999.0,678170.49
0180,9271,22603,R,Argitalpenak eta publizitatea,0.0,1242.17,1222.1
0180,9271,22612,,Eguneko prentsa erostea,20000.0,20000.0,17648.36
0180,9271,22616,,Prentsa-zerbitzuak,35000.0,35000.0,37162.69
0180,9271,22628,,Ikus-entzunezko komunikazioa,20000.0,20000.0,11374.0
0180,9271,22631,,Erakundeetako parte-hartzea,28000.0,28000.0,31521.56
0180,9271,22632,,Harpidetzak,500.0,500.0,2860.0
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,105000.0,105000.0,133302.88
0180,9271,22634,R,Ekitaldiak antolatzea eta ordezkaritza-gastuak,0.0,1531.86,0.0
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,170000.0,170000.0,0.0
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,7000.0,7000.0,2583.23
0180,9271,22732,,Zerbitzuak emateko kontratuak,30000.0,30000.0,7910.92
0180,9271,22732,A,Zerbitzuak emateko kontratuak,0.0,3793.36,0.0
0180,9271,22732,R,Zerbitzuak emateko kontratuak,0.0,8108.26,0.0
0180,9271,22799,,Itzulpen-zerbitzuak,40000.0,40000.0,38816.99
0180,9271,62505,,Bestelako tresnak,8000.0,8000.0,425.24
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,48526.0,48526.0,39659.74
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,63377.0,63377.0,45462.55
0181,2327,14100,,Bestelako langileak,64283.0,64283.0,86420.95
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",58420.0,58420.0,51288.3
0181,2327,16500,,"Elkarkidetzako kuotak, Udalaren kontura",200.0,200.0,0.0
0181,2361,22604,,Zurrumurruen kontrako estrategia,45000.0,45000.0,28304.93
0181,2361,22608,,Informazio- eta prestakuntza-programa,33000.0,33000.0,39362.47
0181,2361,22610,,Hiri Hezitzailea,26615.0,26615.0,25726.5
0181,2361,22613,,Itzulpena eta interpretazioa,45445.0,45445.0,58397.27
0181,2361,22614,,Martxoaren hiruko gertakarien 50. urteurreneko ekitaldiak prestazea,50000.0,50000.0,40626.0
0181,2361,22621,,Servicio de acogida,0.0,100000.0,22597.36
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,130000.0,130000.0,93688.39
0181,2361,22642,R,Bizikidetza eta Aniztasun Plana,0.0,61350.31,61350.29
0181,2361,22643,,Auzoetan bizikidetzarako ekintzak abian jartzea,60000.0,0.0,0.0
0181,2361,41910,,Zurrumurruen kontrako euskal sarea,5000.0,5000.0,4000.0
0181,2361,41910,R,Zurrumurruen kontrako euskal sarea,0.0,1000.0,1000.0
0181,2361,48128,,Hitzarmena: Arabako gorrak,22000.0,22000.0,17600.0
0181,2361,48128,R,Hitzarmena: Arabako gorrak,0.0,4400.0,4400.0
0181,2361,48901,,Dirulaguntza deialdi orokorra,80000.0,80000.0,51471.85
0181,2361,48901,R,Dirulaguntza deialdi orokorra,0.0,12000.0,11294.72
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,30000.0,30000.0,24000.0
0181,2361,48970,R,Hitzarmena: Eginaren Eginez elkartea,0.0,6000.0,6000.0
0181,2361,48983,,Hitzarmena: Goian,120000.0,180000.0,144000.0
0181,2361,48983,R,Hitzarmena: Goian,0.0,22800.0,22800.0
0181,2361,48986,,Martxoaren 3aren memorialaren fundazioa,25000.0,25000.0,0.0
0209,1701,12000,,Funtzionarioen oinarrizko ordainsariak,34965.0,34965.0,29332.24
0209,1701,12100,,Funtzionarioen ordainsari osagarriak,59731.0,59731.0,45789.25
0209,1701,16000,,"Gizarte Segurantza, enpresaren kontura",15803.0,15803.0,14464.39
0209,1701,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1712.0,1712.0,1588.21
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,30691.0,30691.0,32046.84
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,49700.0,49700.0,63198.12
0210,1502,14100,,Otro personal,0.0,0.0,23892.47
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",12106.0,12106.0,24794.3
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1345.0,1345.0,1832.55
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,2000.0,2000.0,0.0
0210,1502,22111,,Tresnak,2000.0,2000.0,1697.37
0210,1502,22205,,"Bilerak, hitzaldiak eta biltzarrak",15000.0,55000.0,42627.39
0210,1502,22637,,Misioa helburu,0.0,0.0,4840.0
0210,1502,22707,,Laguntza teknikoak,4000.0,15797.5,1433.25
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiei,1000.0,1000.0,0.0
0210,1502,62633,,Teknologia berrien aplikazioa,60000.0,60000.0,0.0
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,345672.0,345672.0,348464.99
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,430350.0,430350.0,455133.59
0211,1511,14100,,Bestelako langileak,107677.0,206002.52,235361.84
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",261381.0,261381.0,306110.31
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",17013.0,17013.0,17117.05
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,50000.0,50000.0,0.0
0211,1511,60926,,Apezpikutzarekiko hitzarmenak erregulatzea. Katedraleko aparkalekua,100000.0,5200.0,0.0
0211,1511,61405,,Hiriko katalogoaren berrikuspena,37500.0,37500.0,3267.0
0211,1511,61407,,Udalaren ondare babestua aztertzea,50000.0,50000.0,0.0
0211,1511,64202,,Eguneratze kartografikoak,18000.0,18000.0,10051.46
0211,1511,64202,R,Eguneratze kartografikoak,0.0,19330.0,19330.0
0211,1511,64203,,Ordainsariak,50000.0,68148.79,38686.73
0211,1511,64203,R,Ordainsariak,0.0,38629.0,38629.0
0211,1511,64206,,HAPO berrikustea,144000.0,144000.0,6050.0
0211,1511,64206,R,HAPO berrikustea,0.0,54413.7,54413.7
0211,1511,64208,,Hirigune historikoko plan bereziaren berrikuspena,62500.0,62500.0,0.0
0211,1511,64208,R,Hirigune historikoko plan bereziaren berrikuspena,0.0,52500.01,33749.32
0211,1511,64212,,Urbanizazio kuoten aurreikuspena,10000.0,10000.0,0.0
0211,1511,64334,,Notarioen ordainsaria. Jabetzak erregulatzeko erregistroa.,21000.0,21000.0,550.89
0211,1521,64220,,Zona tentsionatuen ekintza-plana,50000.0,14660.08,0.0
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,206594.0,480934.27,605660.83
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,270612.0,707375.84,769218.36
0213,1512,14100,,Bestelako langileak,76457.0,307331.95,357832.64
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",145988.0,460616.45,503441.27
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10496.0,10496.0,26314.27
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,150000.0,138202.5,52598.52
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,40000.0,40000.0,1346.37
0213,1512,22747,A,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,0.0,2586.37,0.0
0214,1502,62630,,Software-lizentziak,1000.0,1000.0,151.19
0214,1502,62901,,Tresneria erostea,5000.0,4323.45,637.79
0214,1502,64201,,Azterlanak eta proiektuak,18000.0,18000.0,9569.34
0214,1515,62213,,PIIE- Eguneko arreta zentroa Zaramagan,0.0,109029.97,107822.63
0214,1515,62213,R,Piie-centro de atención diurna zaramaga,0.0,1334142.95,1334142.95
0214,9210,60205,,EU Maturana-Berastegi jauregia birgaitzea,600000.0,600000.0,596468.85
