#Ekonomikoa,Diru-sarreren aplikazioaren izena,BEHIN-BETIKO K.,DRN GARBIAK
39903,Aurreko ekitaldietako berandutze-interesak,1000.0,-11.35
39906,Floridako jaiotzako dohainak,1.0,14481.55
39907,San Anton zozketako diru-sarrerak,1.0,15837.2
39909,Aparkalekuetako diru-sarreretako partizipazioa,20000.0,4950.81
40000,Administrazio Orokorretik,2697476.74,2644955.93
40001,Hitzartu gabeko zergak,288433.2,540284.74
41000,Eusko Jaurlaritzatik,22751319.04,19327395.44
42000,Arabako Foru Aldunditik,7125236.21,6277316.0
42001,FOFEL,220458194.22,228144138.94
42002,FOFEL-Likidazioa,0.0,-7652638.71
43000,Udalerriko erakunde publikoak,8610.35,0.0
47000,Partaidetutako enpresetatik,7500.0,4500.0
48000,Familietatik eta irabazi-asmorik gabeko erakundeak,55000.0,148000.0
48001,Vital Fundazioa - Hazia gazteen laneratzera hitzarmena,60000.0,0.0
49000,Europar Batasuneko erakundeetatik,382838.0,773421.59
49001,"Enplegurako prestakuntza-proiektuak, toki-erakundeek sustatuak",250595.64,0.0
52500,Udalaren interesak banku eta kutxetan,1647040.31,1131537.1
54001,Udalaren hiri-funtsen alokairu-errentak,125000.0,49727.69
54002,Enpresa-mintegietako lokalak alokatzea,130000.0,121538.3
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000.0,31088.02
54101,Landa-funtsen alokairua,0.0,64.82
55000,Emakiden emaitzak,1200000.0,1342346.5
55004,Aparkaleku-plazak erabiltzeko lagapena,30000.0,39348.28
59002,Lur sailak erabiltzea,20000.0,-42844.63
60300,Lurzoruaren udal-ondarea,12868618.86,1883572.37
61200,Eraikinak eta bestelako eraikuntzak,1180000.0,698713.14
65100,Nahitaezko aprobetxamendu-lagapenak,0.0,369096.89
70000,Estatutik ,0.0,-287175.29
71000,Eusko Jaurlaritzatik,8965520.29,9122805.97
72000,Arabako Foru Aldunditik,2903879.74,3207806.06
73000,Udalerriko erakunde publikoetatik,40000.0,39964.5
77000,Enpresa pribatuak,417407.54,417407.54
79000,Enpresa pribatuak,406389.1,92000.0
87001,Gastu orokorretarako diruzaintzako gerakin,25996398.18,0.0
87002,Finantzaketa lotua duten gastuetarako diruza,32173929.12,0.0
93301,Inbertsioak finantzatzeko finantza-pasiboak,14085796.6,14085796.6
